tf,target,mode,weight,confidence
CEBPA,MYC,Repression,-1.0,A
CEBPA,PCK1,Activation,1.0,A
CEBPA,PCK2,Activation,1.0,A
CEBPA,S100A9,Activation,1.0,A
CEBPA,SAA1,Activation,1.0,A
CEBPA,SERPINC1,Activation,1.0,A
CEBPA,SFTPD,Activation,1.0,A
CEBPA,SLC10A1,Activation,1.0,A
CEBPA,SOCS3,Activation,1.0,A
CEBPA,SPI1,Activation,1.0,A
CEBPA,SPP1,Activation,1.0,A
CEBPA,STAR,Activation,1.0,A
CEBPA,STAT3,Activation,1.0,A
CEBPA,VLDLR,Activation,1.0,A
CEBPB,ABCB1,Activation,1.0,A
CEBPB,ADM,Activation,1.0,A
CEBPB,ALB,Activation,1.0,A
CEBPB,ASNS,Repression,-1.0,A
CEBPB,BCL2L1,Activation,1.0,A
CEBPB,CDKN1A,Activation,1.0,A
CEBPB,CRP,Activation,1.0,A
CEBPB,CSF3R,Activation,1.0,A
CEBPB,CSH2,Activation,1.0,A
CEBPB,CSRP1,Activation,1.0,A
CEBPB,CXCL8,Activation,1.0,A
CEBPB,CYP19A1,Repression,-1.0,A
CEBPB,F8,Activation,1.0,A
CEBPB,FASLG,Activation,1.0,A
CEBPB,FURIN,Activation,1.0,A
CEBPB,GADD45G,Activation,1.0,A
CEBPB,GFER,Repression,-1.0,A
CEBPB,HP,Activation,1.0,A
CEBPB,IL10,Activation,1.0,A
CEBPB,IL1B,Activation,1.0,A
CEBPB,IL24,Activation,1.0,A
CEBPB,IL3,Activation,1.0,A
CEBPB,IL4,Activation,1.0,A
CEBPB,IL5,Activation,1.0,A
CEBPB,IL6,Repression,-1.0,A
CEBPB,INSR,Activation,1.0,A
CEBPB,MAD1L1,Activation,0.5,B
CEBPB,PRL,Activation,1.0,A
CEBPB,PTGS2,Activation,1.0,A
CEBPB,S100A9,Activation,1.0,A
CEBPB,SAA1,Activation,1.0,A
CEBPB,SAA2,Activation,1.0,A
CEBPB,SFTPD,Activation,1.0,A
CEBPB,SLC10A1,Activation,1.0,A
CEBPB,SLC19A1,Activation,1.0,A
CEBPB,STAR,Activation,1.0,A
CEBPB,TNF,Activation,1.0,A
CEBPB,TNFAIP6,Activation,1.0,A
CEBPB,TOP1,Activation,1.0,A
CEBPB,XBP1,Activation,1.0,A
CEBPD,C3,Activation,1.0,A
CEBPD,CYP19A1,Repression,-1.0,A
CEBPD,GADD45G,Activation,1.0,A
CEBPD,GAPDH,Activation,1.0,A
CEBPD,POU5F1,Activation,1.0,A
CEBPD,PTGS2,Activation,1.0,A
CEBPD,TNF,Activation,1.0,A
CEBPE,CTSG,Activation,1.0,A
CEBPE,GATA1,Repression,-1.0,A
CEBPE,LTF,Activation,1.0,A
CEBPE,MYC,Repression,-1.0,A
CEBPE,SPI1,Repression,-1.0,A
CEBPG,SFTPD,Activation,1.0,A
CEBPZ,COL11A1,Repression,-1.0,A
CEBPZ,MLH1,Repression,-1.0,A
CEBPZ,SOX9,Activation,1.0,A
CLOCK,BHLHE40,Activation,1.0,A
CLOCK,BHLHE41,Activation,1.0,A
CLOCK,CRY1,Activation,1.0,A
CLOCK,CRY2,Activation,1.0,A
CLOCK,PER1,Activation,1.0,A
CLOCK,PER2,Activation,1.0,A
CLOCK,PER3,Activation,1.0,A
CREB1,ADRA1A,Activation,1.0,A
CREB1,AQP3,Activation,1.0,A
CREB1,BCL2,Activation,1.0,A
CREB1,BDKRB1,Activation,1.0,A
CREB1,BDNF,Activation,1.0,A
CREB1,CCL5,Activation,1.0,A
CREB1,CD4,Activation,1.0,A
CREB1,CGA,Activation,1.0,A
CREB1,CXCR4,Activation,1.0,A
CREB1,CYP11A1,Activation,1.0,A
CREB1,CYP11B1,Activation,1.0,A
CREB1,CYP11B2,Activation,1.0,A
CREB1,CYP17A1,Activation,1.0,A
CREB1,CYP19A1,Activation,1.0,A
CREB1,ERBB2,Activation,1.0,A
CREB1,ETV3,Activation,1.0,A
CREB1,FLT1,Activation,1.0,A
CREB1,FOS,Activation,1.0,A
CREB1,HLA-DOB,Activation,1.0,A
CREB1,HLA-DQB1,Activation,1.0,A
CREB1,HMOX1,Activation,1.0,A
CREB1,HPGD,Activation,1.0,A
CREB1,IFNG,Activation,1.0,A
CREB1,IL10,Activation,1.0,A
CREB1,IL2,Activation,1.0,A
CREB1,IL5RA,Activation,1.0,A
CREB1,IL6,Activation,1.0,A
CREB1,JUN,Repression,-1.0,A
CREB1,MITF,Activation,1.0,A
CREB1,MSMB,Activation,1.0,A
CREB1,MUC4,Activation,1.0,A
CREB1,MUC5AC,Activation,1.0,A
CREB1,NF1,Activation,1.0,A
CREB1,NOLC1,Activation,1.0,A
CREB1,NPY,Activation,1.0,A
CREB1,NR4A3,Activation,1.0,A
CREB1,NTS,Activation,1.0,A
CREB1,ODC1,Activation,1.0,A
CREB1,PCSK1,Activation,1.0,A
CREB1,PLAT,Repression,-1.0,A
CREB1,POLD2,Activation,1.0,A
CREB1,PPP2CA,Activation,1.0,A
CREB1,PSEN1,Activation,1.0,A
CREB1,PTGS2,Activation,1.0,A
CREB1,RRM2B,Activation,1.0,A
CREB1,SLC19A1,Activation,1.0,A
CREB1,SLC20A1,Activation,1.0,A
CREB1,SOX9,Activation,0.5,B
CREB1,SPRY2,Activation,1.0,A
CREB1,TH,Activation,1.0,A
CREB1,TRH,Activation,1.0,A
CREB1,UXT,Activation,1.0,A
CREB1,VIP,Activation,1.0,A
CREB3L1,SLC1A4,Repression,-1.0,A
CREM,CCNA2,Repression,-1.0,A
CREM,CD247,Repression,-1.0,A
CREM,DUSP1,Repression,-1.0,A
CREM,FOS,Repression,-1.0,A
CREM,IL2,Activation,1.0,A
CTCF,ANG,Activation,1.0,A
CTCF,APP,Activation,1.0,A
CTCF,ASAP2,Activation,1.0,A
CTCF,ATXN7,Activation,1.0,A
CTCF,BBC3,Activation,1.0,A
CTCF,BCL6,Repression,-1.0,A
CTCF,CCND1,Activation,1.0,A
CTCF,CELSR3,Repression,-1.0,A
CTCF,CSF2,Activation,1.0,A
CTCF,DMPK,Activation,1.0,A
CTCF,ETNK2,Activation,1.0,A
CTCF,PBXIP1,Activation,1.0,A
CTCF,IGF2,Repression,-1.0,A
CTCF,IPO13,Activation,1.0,A
CTCF,IRAK2,Activation,1.0,A
CTCF,MYC,Repression,-1.0,A
CTCF,NF1,Activation,1.0,A
CTCF,PTPRG,Activation,1.0,A
CTCF,RAD21,Activation,1.0,A
CTCF,RARRES1,Activation,1.0,A
CTCF,RBL2,Activation,1.0,A
CTCF,SIX5,Activation,1.0,A
CTCF,SLC6A4,Activation,1.0,A
CTCF,TERT,Repression,-1.0,A
CTCF,WT1,Activation,1.0,A
CUX1,ECT2,Activation,1.0,A
CUX1,FTO,Activation,0.5,B
CUX1,RACGAP1,Activation,1.0,A
DDIT3,ASNS,Repression,-1.0,A
DDIT3,CXCL8,Activation,1.0,A
DDIT3,TNFRSF10B,Activation,1.0,A
DDIT3,TRIB3,Activation,1.0,A
DNMT1,ESR1,Repression,-1.0,A
DNMT1,MSH2,Activation,1.0,A
DNMT1,SFRP5,Activation,1.0,A
DNMT1,TIMP3,Repression,-1.0,A
E2F1,APAF1,Activation,1.0,A
E2F1,AR,Repression,-1.0,A
E2F1,ASF1B,Activation,1.0,A
E2F1,ATAD2,Activation,1.0,A
E2F1,ATM,Activation,1.0,A
E2F1,AURKA,Activation,1.0,A
E2F1,BBC3,Activation,1.0,A
E2F1,BCL2,Activation,1.0,A
E2F1,BIRC5,Activation,1.0,A
E2F1,BMI1,Activation,1.0,A
E2F1,BRCA1,Activation,1.0,A
E2F1,CASP7,Activation,1.0,A
E2F1,CCND1,Activation,1.0,A
E2F1,CCNE1,Activation,1.0,A
E2F1,CD2AP,Activation,1.0,A
E2F1,CDAN1,Activation,1.0,A
E2F1,CDC6,Activation,1.0,A
E2F1,CDCA7,Activation,1.0,A
E2F1,CDK1,Activation,1.0,A
E2F1,CDKN1A,Activation,1.0,A
E2F1,CDKN1C,Activation,1.0,A
E2F1,CDKN2A,Activation,1.0,A
E2F1,CTNNBIP1,Activation,1.0,A
E2F1,CTSV,Activation,1.0,A
E2F1,CUX1,Activation,1.0,A
E2F1,DAPK2,Activation,1.0,A
E2F1,DBF4,Activation,1.0,A
E2F1,DHFR,Activation,1.0,A
E2F1,DIRAS3,Repression,-1.0,A
E2F1,DNMT1,Activation,1.0,A
E2F1,DRAM1,Activation,1.0,A
E2F1,DUSP1,Activation,1.0,A
E2F1,E2F6,Activation,1.0,A
E2F1,ECT2,Activation,1.0,A
E2F1,ERCC1,Activation,1.0,A
E2F1,ETV4,Activation,1.0,A
E2F1,FANCA,Activation,1.0,A
E2F1,FGFR1,Activation,1.0,A
E2F1,FHIT,Repression,-1.0,A
E2F1,FLT1,Activation,1.0,A
E2F1,FOXM1,Activation,1.0,A
E2F1,GINS3,Activation,1.0,A
E2F1,HIC1,Activation,1.0,A
E2F1,HMGA1,Activation,1.0,A
E2F1,HSPA5,Repression,-1.0,A
E2F1,IL1B,Activation,1.0,A
E2F1,IRF3,Repression,-1.0,A
E2F1,ISYNA1,Activation,1.0,A
E2F1,KDR,Activation,1.0,A
E2F1,KIF2C,Activation,1.0,A
E2F1,KIR3DL1,Activation,1.0,A
E2F1,MAP1LC3A,Activation,1.0,A
E2F1,MAP3K5,Activation,1.0,A
E2F1,MAPK8,Activation,1.0,A
E2F1,MCM5,Activation,1.0,A
E2F1,MCM8,Activation,1.0,A
E2F1,MCPH1,Activation,1.0,A
E2F1,MDM2,Repression,-1.0,A
E2F1,MEFV,Activation,1.0,A
E2F1,MT1G,Activation,1.0,A
E2F1,MUC4,Activation,1.0,A
E2F1,MYB,Activation,1.0,A
E2F1,MYBL2,Activation,1.0,A
E2F1,MYC,Activation,1.0,A
E2F1,MYCN,Activation,1.0,A
E2F1,MYH10,Activation,1.0,A
E2F1,NELL2,Activation,1.0,A
E2F1,NPAT,Activation,1.0,A
E2F1,PCNA,Activation,1.0,A
E2F1,PCSK6,Activation,1.0,A
E2F1,PDK4,Activation,1.0,A
E2F1,PLK1,Activation,1.0,A
E2F1,PNRC2,Repression,-1.0,A
E2F1,PPARG,Activation,1.0,A
E2F1,PPP1R13B,Activation,1.0,A
E2F1,PTPRO,Activation,1.0,A
E2F1,RACGAP1,Activation,1.0,A
E2F1,RAD51,Activation,1.0,A
E2F1,RASGEF1B,Activation,1.0,A
E2F1,RASGRP1,Activation,1.0,A
E2F1,RB1,Activation,1.0,A
E2F1,RBM38,Activation,1.0,A
E2F1,RRM1,Activation,1.0,A
E2F1,RRM2,Activation,1.0,A
E2F1,RRP1B,Activation,1.0,A
E2F1,SERPINE1,Repression,-1.0,A
E2F1,SKP2,Activation,1.0,A
E2F1,TERT,Activation,1.0,A
