tf,target,mode,weight,confidence
FOSL2,NOS2,Activation,1.0,A
NFKB1,GATA3,Activation,1.0,A
RELA,GATA3,Activation,1.0,A
GATA3,TCF7L2,Activation,1.0,A
HBP1,NCF1,Repression,-1.0,A
HIF1A,VEGFB,Activation,1.0,A
HIF1A,TLR6,Activation,1.0,A
HIF1A,TLR2,Activation,1.0,A
HIF1A,SOCS1,Activation,1.0,A
HIF1A,PPP1R3C,Activation,1.0,A
HIF1A,NR3C1,Activation,1.0,A
HIF1A,FAM162A,Activation,1.0,A
HIF1A,ENO1,Activation,1.0,A
HIF1A,E2F3,Activation,1.0,A
HIF1A,MIF,Activation,1.0,A
HIC1,VLDLR,Repression,-1.0,A
HHEX,HNF4A,Activation,1.0,A
HIF1A,CXCL12,Activation,1.0,A
HEY2,GATA6,Repression,-1.0,A
HEY2,ACTA2,Repression,-1.0,A
GLI2,WNT2B,Activation,1.0,A
GLI2,FST,Activation,1.0,A
GLI2,FOXA2,Activation,1.0,A
GLI2,FAS,Repression,-1.0,A
GLI1,EGR2,Repression,-1.0,A
GFI1B,MEF2C,Repression,-1.0,A
FOSL2,FOSL1,Activation,1.0,A
FOSL2,CCR4,Activation,1.0,A
FOSL2,BRCA1,Activation,1.0,A
FOSL2,BCL6,Activation,1.0,A
ETS2,VWF,Activation,1.0,A
ETS2,PDE7A,Activation,1.0,A
ETS2,MSR1,Activation,1.0,A
ETS2,ERG,Activation,1.0,A
ETS2,EGR1,Activation,1.0,A
ETS2,CSF3R,Activation,1.0,A
ETS2,CDK1,Activation,1.0,A
ETS2,CD163,Activation,1.0,A
ETS2,ANGPT2,Activation,1.0,A
ETS1,WAS,Activation,1.0,A
ETS1,TNFSF14,Activation,1.0,A
ETS1,TGFBR2,Activation,1.0,A
ETS1,TBXAS1,Repression,-1.0,A
ETS1,TAF12,Activation,1.0,A
ETS1,SPRY2,Activation,1.0,A
ETS1,SLC26A3,Activation,1.0,A
ETS1,NDRG1,Repression,-1.0,A
ETS1,MDM2,Repression,-1.0,A
ETS1,LCK,Activation,1.0,A
ETS1,IL2RB,Activation,1.0,A
ETS1,HPGD,Activation,1.0,A
ETV3,NFKB1,Repression,-1.0,A
ETS1,FGFBP1,Activation,1.0,A
ETV4,BDKRB1,Activation,1.0,A
ETV4,TNF,Activation,1.0,A
FOSL1,ITGB3,Repression,-1.0,A
FOS,SRR,Activation,1.0,A
FOS,SPRR3,Activation,1.0,A
SPI1,FOS,Activation,1.0,A
FOS,SMAD4,Activation,1.0,A
FOS,PLAU,Activation,1.0,A
FOS,PDHA1,Activation,1.0,A
FOS,NTS,Activation,1.0,A
FOS,NTF3,Activation,1.0,A
FOS,NFKB1,Repression,-1.0,A
FOS,NEFL,Activation,1.0,A
FOS,LRIG2,Activation,1.0,A
FOS,HSPH1,Activation,1.0,A
FOS,FOXA1,Activation,1.0,A
FOS,FAS,Activation,1.0,A
FOS,DDIT3,Activation,1.0,A
FOS,BCL2L1,Activation,1.0,A
FOS,BATF3,Activation,1.0,A
FOS,ACTA1,Activation,1.0,A
FLI1,ID2,Activation,1.0,A
FOXO1,RAG1,Activation,1.0,A
ETV4,TIMP2,Activation,1.0,A
CTCF,SLC6A4,Activation,1.0,A
NFKB2,CDK6,Activation,1.0,A
NFYA,FXR2,Activation,1.0,A
STAT4,SOCS3,Repression,-1.0,A
STAT4,PIM1,Activation,1.0,A
STAT3,ZFP36,Activation,1.0,A
STAT3,VEGFB,Activation,1.0,A
STAT3,NOX5,Activation,1.0,A
STAT3,MYD88,Activation,1.0,A
STAT3,LTBP1,Repression,-1.0,A
STAT3,IL2RA,Activation,1.0,A
STAT3,IFNAR1,Activation,1.0,A
STAT5A,CEL,Activation,1.0,A
STAT3,HSPB1,Activation,1.0,A
STAT3,FAS,Repression,-1.0,A
STAT3,CSRP1,Activation,1.0,A
STAT3,CISH,Activation,1.0,A
STAT3,CFB,Activation,1.0,A
STAT3,CDK4,Activation,1.0,A
STAT3,CCND3,Activation,1.0,A
STAT1,VIP,Activation,1.0,A
STAT1,TP53,Activation,1.0,A
TP53,STAT1,Activation,1.0,A
STAT3,HMOX1,Activation,1.0,A
STAT5B,ESR2,Activation,1.0,A
STAT5B,BCL6,Activation,1.0,A
STAT5B,CEL,Activation,1.0,A
TFAP2A,CCNB1,Activation,1.0,A
TFAP2A,ADRA2B,Activation,1.0,A
TFAP2A,ADRA1A,Activation,1.0,A
TCF7L2,STAT3,Activation,1.0,A
TCF7L2,SNAI2,Activation,1.0,A
TCF7L2,CTNNB1,Activation,1.0,A
TCF7L2,BIRC5,Activation,1.0,A
TCF7L2,ABCB1,Activation,1.0,A
TCF7,SNAI2,Activation,1.0,A
TCF4,VIM,Activation,1.0,A
TCF4,NRXN1,Activation,1.0,A
TCF4,CCND1,Activation,1.0,A
TCF4,ABCB1,Activation,1.0,A
TCF3,CDK6,Repression,-1.0,A
TCF3,BBC3,Repression,-1.0,A
TBX5,CDKN2A,Activation,1.0,A
TBP,FUS,Repression,-1.0,A
TAL1,ERG,Activation,1.0,A
TAL1,CD34,Repression,-1.0,A
STAT6,FOS,Activation,1.0,A
STAT5B,IFNG,Activation,1.0,A
STAT1,TLR3,Activation,1.0,A
TFAP2A,CFTR,Activation,1.0,A
STAT1,TIMP1,Activation,1.0,A
STAT1,PIM1,Activation,1.0,A
SPI1,MACROD1,Repression,-1.0,A
SPI1,IL5,Activation,1.0,A
SPI1,ERAP2,Activation,1.0,A
SPDEF,AGR2,Activation,1.0,A
SP4,YY1,Activation,1.0,A
SP4,PDE6B,Activation,1.0,A
SP4,ERBB2,Activation,1.0,A
SP3,TIMP2,Activation,1.0,A
SP3,TGM4,Activation,1.0,A
SPI1,MNDA,Activation,1.0,A
SP3,SLC1A3,Activation,1.0,A
SP3,RORA,Activation,1.0,A
SP3,HOXB7,Activation,1.0,A
SPI1,CD163,Activation,1.0,A
SP3,ETF1,Repression,-1.0,A
SPI1,BPI,Activation,1.0,A
SP3,CYP17A1,Activation,1.0,A
SP3,CD83,Activation,1.0,A
SP3,CD14,Activation,1.0,A
SP3,BPI,Activation,1.0,A
SP3,SLC19A3,Activation,1.0,A
SPI1,P2RY10,Activation,1.0,A
SPI1,SCARB1,Activation,1.0,A
SPI1,SCARB2,Activation,1.0,A
STAT1,NOX5,Activation,1.0,A
STAT1,KRT17,Activation,1.0,A
STAT1,IL2RA,Activation,1.0,A
STAT1,IL1R1,Repression,-1.0,A
STAT1,HMOX1,Activation,1.0,A
STAT1,FGFR3,Repression,-1.0,A
STAT1,EGFR,Activation,1.0,A
STAT1,CTSL,Activation,1.0,A
STAT1,CTSB,Activation,1.0,A
STAT1,CFTR,Activation,1.0,A
STAT1,STAT2,Activation,1.0,A
STAT1,CEBPE,Activation,1.0,A
STAT1,CCR1,Activation,1.0,A
SRF,SAMD4A,Activation,1.0,A
SRF,MMP2,Activation,1.0,A
SRF,FOSL1,Activation,1.0,A
SRF,ACTA1,Activation,1.0,A
STAT1,APP,Activation,1.0,A
SPIB,IRF7,Repression,-1.0,A
SPI1,WAS,Activation,1.0,A
SPI1,STAT3,Activation,1.0,A
STAT1,PLSCR1,Activation,1.0,A
TFAP2A,CGA,Activation,1.0,A
TFAP2A,CRABP2,Activation,1.0,A
TFAP2A,CRX,Activation,1.0,A
USF2,MYH9,Activation,1.0,A
USF2,LIPC,Activation,1.0,A
USF2,FCER1A,Activation,1.0,A
USF2,FBP1,Activation,1.0,A
USF2,CXCR4,Activation,1.0,A
USF2,CTSD,Activation,1.0,A
USF2,CEACAM5,Activation,1.0,A
USF2,CD2,Activation,1.0,A
USF1,TYMS,Activation,1.0,A
USF2,PDX1,Activation,1.0,A
USF1,SLC1A3,Activation,1.0,A
USF1,MYH9,Activation,1.0,A
USF1,LIPC,Activation,1.0,A
USF1,ISG20,Activation,1.0,A
USF1,ID4,Activation,1.0,A
USF2,BRCA1,Activation,1.0,A
USF1,FCER1A,Activation,1.0,A
USF1,FBP1,Activation,1.0,A
USF1,B2M,Activation,1.0,A
TWIST2,SRPX,Repression,-1.0,A
