tf,target,mode,pmid,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
ARNT,JUN,Repression,21544813,0.1289903810489583,0.4852995722168302,0.1504624,1.781715,0.7382109465081591,4.0077259700491465,44
ARNT,RELB,Unknown,17900530,0.1289903810489583,0.1469115501594861,0.1504624,0.18670212,0.02535870917056057,0.9926106968047931,45
ASH1L,TGFB1,Unknown,22488473,0.5304888603153994,0.6248423629482924,0.8820034,1.3392029,0.5404409193884038,5.251084399368118,46
ASH1L,TIMP1,Unknown,22488473,0.5304888603153994,0.4870984891575639,0.8820034,1.6799457,0.6927276315412724,4.0237547346322655,47
ATF1,BCL2,Unknown,10542244,0.153940308103146,0.2813852278627349,0.18076366,0.47219273,0.15295179799713846,2.1908021606376797,48
ATF1,FTH1,Activation,17565989,0.153940308103146,0.9954748893425204,0.18076366,42.56442,18.96504965638069,8.55350563844792,49
ATF1,GABPA,Unknown,10585419,0.153940308103146,0.1522773917558773,0.18076366,0.1783707,0.021635183510254164,1.0404215822277627,50
ATF1,LDHA,Unknown,9632793,0.153940308103146,0.62687619000498,0.18076366,1.3056952,0.5254654673324698,5.269206267229968,51
ATF1,MAP1LC3B,Activation,20514020,0.153940308103146,0.5748003264015278,0.18076366,1.0498929,0.4111408470378026,4.805198319302218,52
ATF1,PLAUR,Unknown,12369939,0.153940308103146,0.2705979080634899,0.18076366,1.0925252,0.43019431727551494,2.0946846548042046,53
ATF1,SLC20A1,Activation,11722845,0.153940308103146,0.2369810340989097,0.18076366,0.33589658,0.0920375466539136,1.7951505592617811,54
ATF1,USP7,Unknown,7642633,0.153940308103146,0.3846096782970005,0.18076366,0.5478991,0.18678691990236598,3.110555806716401,55
ATF2,ATF3,Activation,10979959;20581861;8576171,0.1649316287925279,0.0880171113473996,0.1904546,0.14093259,0.004903130239818428,0.4678476721212983,56
ATF2,CDKN1A,Unknown,10506225,0.1649316287925279,0.2153878489650451,0.1904546,0.5721349,0.19761852162188726,1.6027503025999923,57
ATF2,DUSP1,Unknown,17681939,0.1649316287925279,0.6385598773519083,0.1904546,5.4021,2.3562540229211106,5.373310614521451,58
ATF2,DUSP10,Unknown,17681939,0.1649316287925279,0.0518594990232612,0.1904546,0.05674495,-0.032722489140867894,0.14567501216797618,59
ATF2,FAS,Unknown,19670268,0.1649316287925279,0.1062535545609821,0.1904546,0.13014755,8.301875973088675e-05,0.6303385845614793,60
ATF2,KAT5,Repression,18397884,0.1649316287925279,0.1228703543433921,0.1904546,0.1344247,0.001994586989153909,0.7783981007103621,61
ATF2,IMPDH2,Unknown,9278455,0.1649316287925279,0.2164696718675434,0.1904546,0.27353987,0.06416873080051949,1.6123895940159143,62
ATF2,JUN,Activation,9502786,0.1649316287925279,0.4852995722168302,0.1904546,1.781715,0.7382109465081591,4.0077259700491465,63
