tf,target,mode,source_db,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
NCOA3,BCL2,Activation,DoRothEA_AB,1.0,A,0.3838802205684555,0.2813852278627349,0.6064863,0.47219273,0.15295179799713846,2.1908021606376797,3469
NCOA6,FOS,Activation,TRRUST,,,0.1477522811008561,0.5457703815437629,0.1715255,9.007235,3.9674814825100784,4.546534819365286,3470
NCOA6,HSF1,Activation,TRRUST,,,0.1477522811008561,0.1853626270368515,0.1715255,0.21439917,0.037737232446279405,1.3352186545592515,3471
NCOR2,PCK2,Unknown,TRRUST,,,0.2743564699190435,0.0666835637100868,0.3859618,0.07432793,-0.024864203612752128,0.2777608453989048,3472
NELFCD,CDKN1A,Activation,TRRUST,,,0.2256806211516711,0.2153878489650451,0.27350268,0.5721349,0.19761852162188726,1.6027503025999923,3473
NELFCD,CTNNB1,Repression,TRRUST,,,0.2256806211516711,0.3899013377515298,0.27350268,0.6698853,0.2413056869196654,3.1577057121567753,3474
NF1,DDB1,Unknown,TRRUST,,,0.1628236195939457,0.2468781681954792,0.2006423,0.3102681,0.08058352045974149,1.8833363053011525,3475
NF1,DDB2,Unknown,TRRUST,,,0.1628236195939457,0.1309623896540837,0.2006423,0.15398143,0.010734992104570488,0.8505000005014965,3476
NF1,FOS,Activation,TRRUST,,,0.1628236195939457,0.5457703815437629,0.2006423,9.007235,3.9674814825100784,4.546534819365286,3477
NF1,MBP,Unknown,TRRUST,,,0.1628236195939457,0.6137212235106606,0.2006423,1.2613108,0.5056289385873936,5.151992483612892,3478
NF1,MSH2,Unknown,TRRUST,,,0.1628236195939457,0.0908298508939013,0.2006423,0.10511946,-0.01110267771739523,0.4929098298027499,3479
NF1,MYC,Activation,TRRUST,,,0.1628236195939457,0.1647523552829711,0.2006423,0.23737915,0.048007575941545276,1.1515763826696435,3480
NF1,PPP2R2D,Unknown,TRRUST,,,0.1628236195939457,0.2493014514970752,0.2006423,0.3033489,0.07749115220213448,1.904928318072816,3481
NF1,SP3,Unknown,TRRUST,,,0.1628236195939457,0.3583862911403258,0.2006423,0.5164158,0.17271622422010238,2.8768993827934204,3482
NF1,TP53,Activation,TRRUST,,,0.1628236195939457,0.1820924309487283,0.2006423,0.22152007,0.04091974561624034,1.3060804536505521,3483
NFATC1,CD3G,Activation,TRRUST,,,0.1088190203011979,0.467761677505966,0.12137582,1.6035702,0.6585934582468361,3.851459285780053,3486
NFATC1,CREB5,Activation,DoRothEA_AB,0.5,B,0.1088190203011979,0.1807447887044734,0.12137582,0.33872312,0.0933008000032685,1.2940726506295765,3487
NFATC1,FYN,Activation,DoRothEA_AB,0.5,B,0.1088190203011979,0.6112670309832899,0.12137582,1.1968379,0.4768143430509342,5.130125062515157,3488
NFATC1,ICAM1,Activation,DoRothEA_AB,1.0,A,0.1088190203011979,0.1540948542320743,0.12137582,0.38763273,0.11515976136526664,1.0566155918065103,3489
NFATC1,MEF2C,Activation,DoRothEA_AB,0.5,B,0.1088190203011979,0.3436982270469125,0.12137582,1.0017421,0.3896210173611951,2.746025346197239,3490
NFATC1,NEDD9,Activation,DoRothEA_AB,0.5,B,0.1088190203011979,0.1703901980662761,0.12137582,0.21449924,0.037781956300415545,1.2018108613629013,3491
NFATC1,SP1,Repression,TRRUST,,,0.1088190203011979,0.2316708291089327,0.12137582,0.3080096,0.07957413878125186,1.747835408825916,3492
NFATC2,CD3G,Repression,TRRUST,,,0.1608577928339775,0.467761677505966,0.20554422,1.6035702,0.6585934582468361,3.851459285780053,3493
NFATC2,CD40LG,Activation,DoRothEA_AB,1.0,A,0.1608577928339775,0.0846480057367548,0.20554422,0.10896245,-0.009385146747008319,0.4378281645687911,3494
NFATC2,CDK4,Repression,DoRothEA_AB,-1.0,A,0.1608577928339775,0.1255532751415925,0.20554422,0.14058305,0.004746911832955788,0.8023035434218897,3495
NFATC2,MDM2,Activation,TRRUST,,,0.1608577928339775,0.2347370243068705,0.20554422,0.32882783,0.08887834065886221,1.7751559147818985,3496
NFATC3,CTSD,Activation,TRRUST,,,0.3581699265598251,0.5214262753150836,0.4944798,1.7028245,0.7029527550948824,4.329623221675415,3497
NFE2,GCLC,Activation,DoRothEA_AB,0.5,B,0.1095732054103698,0.097772063005377,0.16004135,0.11275542,-0.007689970999804079,0.5547665398604871,3498
NFE2,GSS,Unknown,TRRUST,,,0.1095732054103698,0.0997069805395639,0.16004135,0.11156909,-0.00822017235762679,0.5720071010787164,3499
NFE2,TBXAS1,Activation,DoRothEA_AB,0.5,B,0.1095732054103698,0.2523738285401808,0.16004135,0.48023078,0.15654420906677916,1.9323039056941274,3500
NFE2L1,CDK11B,Unknown,TRRUST,,,0.1044422739299381,0.3127642738804815,0.11769662,0.4014296,0.12132593705643473,2.4703966933658865,3501
NFE2L2,ABCC1,Activation,DoRothEA_AB,0.5,B,0.4174661853073084,0.0977967903860056,0.7542215,0.108768135,-0.00947199111311667,0.554986866521423,3502
NFE2L2,CAT,Activation,TRRUST,,,0.4174661853073084,0.3209799460943477,0.7542215,0.5484749,0.18704425971661187,2.5436002264619826,3503
NFE2L2,GCLC,Activation,DoRothEA_AB,1.0,A,0.4174661853073084,0.097772063005377,0.7542215,0.11275542,-0.007689970999804079,0.5547665398604871,3504
NFE2L2,GSS,Unknown,TRRUST,,,0.4174661853073084,0.0997069805395639,0.7542215,0.11156909,-0.00822017235762679,0.5720071010787164,3505
NFE2L2,HMOX1,Activation,DoRothEA_AB,1.0,A,0.4174661853073084,0.1934113894314383,0.7542215,0.4157285,0.12771648285344836,1.4069349826937056,3506
NFE2L2,MTHFR,Activation,DoRothEA_AB,1.0,A,0.4174661853073084,0.1760651319205239,0.7542215,0.22854845,0.044060909221050104,1.2523758300475623,3507
NFE2L2,NQO2,Activation,DoRothEA_AB,0.5,B,0.4174661853073084,0.2104856457554389,0.7542215,0.2949679,0.07374546796595051,1.5590705420695607,3508
NFE2L2,SDHB,Unknown,TRRUST,,,0.4174661853073084,0.3164115625232062,0.7542215,0.43033963,0.13424657225970474,2.5028948758539955,3509
NFE2L2,SOD1,Activation,TRRUST,,,0.4174661853073084,0.6960077643968847,0.7542215,1.4125293,0.5732123715511673,5.885184529537189,3510
NFE2L2,SQSTM1,Activation,DoRothEA_AB,1.0,A,0.4174661853073084,0.5409176330954355,0.7542215,1.1110467,0.4384720515053778,4.503295712156919,3511
NFE2L2,TGIF1,Activation,DoRothEA_AB,0.5,B,0.4174661853073084,0.1457864543408879,0.7542215,0.17257567,0.01904523570936963,0.9825858337322347,3512
NFE2L2,TXN,Activation,DoRothEA_AB,1.0,A,0.4174661853073084,0.5322197769593888,0.7542215,1.1535763,0.45747962247438045,4.42579580917326,3513
NFE2L2,TXNRD1,Activation,DoRothEA_AB,1.0,A,0.4174661853073084,0.2194616849235956,0.7542215,0.2952673,0.07387927751854728,1.6390491199890904,3514
NFIA,ALDOA,Activation,DoRothEA_AB,1.0,A,0.0632897307188133,0.114895774090673,0.076857105,0.13115148,0.0005317008710818155,0.7073427525585544,3515
NFIA,CDKN1A,Repression,DoRothEA_AB,-1.0,A,0.0632897307188133,0.2153878489650451,0.076857105,0.5721349,0.19761852162188726,1.6027503025999923,3516
NFIA,PCK2,Unknown,TRRUST,,,0.0632897307188133,0.0666835637100868,0.076857105,0.07432793,-0.024864203612752128,0.2777608453989048,3517
NFIA,TP53,Activation,DoRothEA_AB,1.0,A,0.0632897307188133,0.1820924309487283,0.076857105,0.22152007,0.04091974561624034,1.3060804536505521,3518
NFIC,ALAS1,Activation,DoRothEA_AB,1.0,A,0.2702764521153176,0.0838814569372686,0.39539483,0.09496717,-0.015639996964999126,0.43099803807978,3519
NFIC,APP,Activation,DoRothEA_AB,0.5,B,0.2702764521153176,0.2245246161072873,0.39539483,0.37548304,0.10972975273771358,1.684161003815602,3520
NFIC,ARID1A,Activation,DoRothEA_AB,0.5,B,0.2702764521153176,0.449580870898757,0.39539483,0.72264576,0.2648856920880004,3.6894641083266144,3521
NFIC,GTF3C1,Activation,DoRothEA_AB,1.0,A,0.2702764521153176,0.1788840533121765,0.39539483,0.22116657,0.04076175738363193,1.2774930693941922,3522
NFIC,GTF3C2,Activation,DoRothEA_AB,1.0,A,0.2702764521153176,0.0886662050889,0.39539483,0.096482396,-0.014962803534327836,0.47363124697086406,3523
NFIC,HGF,Unknown,TRRUST,,,0.2702764521153176,0.0548329665438453,0.39539483,0.07053238,-0.02656053242824528,0.1721692931454803,3524
NFIC,HMGB1,Activation,DoRothEA_AB,1.0,A,0.2702764521153176,0.9788209984892796,0.39539483,6.3385215,2.774764851100774,8.405115632308632,3525
NFIC,IRS2,Activation,TRRUST,,,0.2702764521153176,0.2393672263295629,0.39539483,0.45971313,0.14737434411408373,1.8164120820420415,3526
NFIC,ITGA5,Repression,DoRothEA_AB,-1.0,A,0.2702764521153176,0.1471588239657714,0.39539483,0.18030432,0.0224993679694798,0.9948139634141465,3527
NFIC,JUN,Activation,DoRothEA_AB,1.0,A,0.2702764521153176,0.4852995722168302,0.39539483,1.781715,0.7382109465081591,4.0077259700491465,3528
