pathway,gene
Complement,TIMP2
Complement,MMP8
Complement,FCER1G
Complement,RBSN
Complement,ANXA5
Complement,CTSV
Complement,GCA
Complement,EHD1
Complement,PRSS3
Complement,COL4A2
Complement,CSRP1
Complement,PIK3R5
Complement,SERPINC1
Complement,ANG
Complement,APOBEC3F
Complement,GATA3
Complement,DUSP5
Complement,CASP3
Complement,USP16
Complement,CP
Complement,PSEN1
Complement,LIPA
Complement,PCSK9
Complement,DGKG
Complement,GNG2
Complement,ME1
Complement,GMFB
Complement,SCG3
Complement,PPP4C
Complement,CCL5
Complement,CTSH
Complement,F8
Complement,APOA4
Complement,IL6
Complement,AKAP10
Complement,ERAP2
Complement,VCPIP1
Complement,HSPA1A
Complement,RAF1
Complement,NOTCH4
Complement,ADRA2B
Complement,CEBPB
Complement,HNF4A
Complement,LGALS3
Complement,TNFAIP3
Complement,CDH13
Complement,ITIH1
Complement,TFPI2
Complement,PIK3CG
Complement,S100A13
Inflammatory Response,CXCL10
Inflammatory Response,CCL2
Inflammatory Response,CCL5
Inflammatory Response,FPR1
Inflammatory Response,CCL20
Inflammatory Response,IL1A
Inflammatory Response,CXCL8
Inflammatory Response,CCL7
Inflammatory Response,CCL22
Inflammatory Response,CXCL11
Inflammatory Response,CCR7
Inflammatory Response,EDN1
Inflammatory Response,CD40
Inflammatory Response,CXCL9
Inflammatory Response,IL6
Inflammatory Response,IL1B
Inflammatory Response,TLR2
Inflammatory Response,IL1R1
Inflammatory Response,CD69
Inflammatory Response,ICAM1
Inflammatory Response,CCRL2
Inflammatory Response,AQP9
Inflammatory Response,EREG
Inflammatory Response,C3AR1
Inflammatory Response,GNA15
Inflammatory Response,CMKLR1
Inflammatory Response,PTGER4
Inflammatory Response,LIF
Inflammatory Response,IL15
Inflammatory Response,NAMPT
Inflammatory Response,OPRK1
Inflammatory Response,ITGB8
Inflammatory Response,PTAFR
Inflammatory Response,ADM
Inflammatory Response,PLAUR
Inflammatory Response,NFKB1
Inflammatory Response,INHBA
Inflammatory Response,OSM
Inflammatory Response,TNFSF10
Inflammatory Response,TNFSF15
Inflammatory Response,IFNGR2
Inflammatory Response,ADGRE1
Inflammatory Response,IL12B
Inflammatory Response,CSF1
Inflammatory Response,CXCL6
Inflammatory Response,TNFRSF9
Inflammatory Response,LYN
Inflammatory Response,ACVR2A
Inflammatory Response,LDLR
Inflammatory Response,BDKRB1
Inflammatory Response,HRH1
Inflammatory Response,F3
Inflammatory Response,BST2
Inflammatory Response,PTGIR
Inflammatory Response,CD55
Inflammatory Response,CALCRL
Inflammatory Response,CSF3
Inflammatory Response,GPR132
Inflammatory Response,IL4R
Inflammatory Response,NLRP3
Inflammatory Response,IL15RA
Inflammatory Response,ADORA2B
Inflammatory Response,GCH1
Inflammatory Response,OLR1
Inflammatory Response,PTGER2
Inflammatory Response,CSF3R
Inflammatory Response,MYC
Inflammatory Response,RELA
Inflammatory Response,TNFAIP6
Inflammatory Response,IL7R
Inflammatory Response,IL18
Inflammatory Response,GABBR1
Inflammatory Response,CD82
Inflammatory Response,TNFSF9
Inflammatory Response,NMUR1
Inflammatory Response,IL2RB
Inflammatory Response,TLR1
Inflammatory Response,LPAR1
Inflammatory Response,IRAK2
Inflammatory Response,RIPK2
Inflammatory Response,MMP14
Inflammatory Response,P2RX7
Inflammatory Response,SLC11A2
Inflammatory Response,SELL
Inflammatory Response,P2RY2
Inflammatory Response,ABCA1
Inflammatory Response,FFAR2
Inflammatory Response,PROK2
Inflammatory Response,GNAI3
Inflammatory Response,TACR1
Inflammatory Response,SLC7A1
Inflammatory Response,CDKN1A
Inflammatory Response,CYBB
Inflammatory Response,TIMP1
Inflammatory Response,HBEGF
Inflammatory Response,SCARF1
Inflammatory Response,EBI3
Inflammatory Response,NFKBIA
Inflammatory Response,SRI
Inflammatory Response,SLC7A2
Inflammatory Response,CCL17
Inflammatory Response,TLR3
Inflammatory Response,APLNR
Inflammatory Response,OSMR
Inflammatory Response,IL10RA
Inflammatory Response,PSEN1
Inflammatory Response,GPR183
Inflammatory Response,ATP2B1
Inflammatory Response,TNFRSF1B
Inflammatory Response,BEST1
Inflammatory Response,GPC3
Inflammatory Response,SCN1B
