source_group,dataset,condition,edge_set,metric,top_level,repeats,mean_curated_positive_fraction,sd_curated_positive_fraction,ci95_curated_positive_fraction,min_curated_positive_fraction,max_curated_positive_fraction,repeats_above_0_5,mean_delta_vs_0_5,mean_actual_top_n,complete_threshold_repeats,mean_total_pairs_ranked,mean_positive_pairs_in_evaluation,mean_negative_pairs_in_evaluation,all_repeats_above_0_5
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,coexpression_probability,top_500,10,0.511,0.0041365578819969,0.0025638651377255,0.506,0.518,10,0.011,500.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,coexpression_probability,top_5pct,10,0.5083333333333333,0.0097111930386125,0.006019059804719,0.5,0.5277777777777778,5,0.0083333333333333,72.0,10,1436.0,718.0,718.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,mutual_information,top_100,10,0.633,0.0194650684275419,0.0120645744042446,0.61,0.67,10,0.133,100.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,mutual_information,top_500,10,0.5562,0.0113313723793722,0.0070232573639301,0.534,0.574,10,0.0562,500.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,mutual_information,top_5pct,10,0.6472222222222223,0.0228686833985712,0.014174156819238,0.625,0.6944444444444444,10,0.1472222222222222,72.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,pearson,top_100,10,0.6759999999999999,0.0164654520469712,0.0102053929098513,0.66,0.71,10,0.176,100.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,pearson,top_500,10,0.5728,0.0061246315081897,0.0037960859374419,0.564,0.586,10,0.0727999999999999,500.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,pearson,top_5pct,10,0.6625,0.0285764803000203,0.0177118859907632,0.625,0.7222222222222222,10,0.1624999999999999,72.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,spearman,top_100,10,0.664,0.0164654520469712,0.0102053929098513,0.65,0.7,10,0.164,100.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,spearman,top_500,10,0.5616,0.0069793345750945,0.0043258363866938,0.55,0.572,10,0.0616,500.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,spearman,top_5pct,10,0.673611111111111,0.0328997000082219,0.0203914453269993,0.625,0.7222222222222222,10,0.1736111111111111,72.0,10,1436.0,718.0,718.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,codetection_odds_ratio,top_100,10,0.599,0.0338132124077753,0.0209576461782647,0.56,0.64,10,0.099,100.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,codetection_odds_ratio,top_500,10,0.5438000000000001,0.0127349039171003,0.0078931752236416,0.526,0.568,10,0.0438,500.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,codetection_odds_ratio,top_5pct,10,0.6278481012658228,0.0354028303179798,0.0219429015665707,0.5822784810126582,0.6835443037974683,10,0.1278481012658227,79.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,coexpression_probability,top_100,10,0.513,0.0048304589153964,0.0029939494540378,0.51,0.52,10,0.013,100.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,coexpression_probability,top_500,10,0.499,0.001943650631615,0.0012046871424196,0.498,0.504,1,-0.001,500.0,10,1574.0,787.0,787.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,coexpression_probability,top_5pct,10,0.5063291139240507,0.0,0.0,0.5063291139240507,0.5063291139240507,10,0.0063291139240506,79.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,mutual_information,top_100,10,0.589,0.0179195734076208,0.0111066666666666,0.57,0.62,10,0.0889999999999999,100.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,mutual_information,top_500,10,0.5272,0.0054324130099902,0.0033670444672508,0.52,0.538,10,0.0272,500.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,mutual_information,top_5pct,10,0.5936708860759493,0.0350236387669994,0.0217078762083351,0.5316455696202531,0.6582278481012658,10,0.0936708860759493,79.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,pearson,top_100,10,0.585,0.0212132034355963,0.0131480797076987,0.56,0.62,10,0.0849999999999999,100.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,pearson,top_500,10,0.5234,0.0089962955339035,0.0055759617406626,0.512,0.544,10,0.0234,500.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,pearson,top_5pct,10,0.6189873417721519,0.0210548100419825,0.0130499064652306,0.5949367088607594,0.6708860759493671,10,0.1189873417721519,79.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,spearman,top_100,10,0.586,0.0126491106406735,0.00784,0.57,0.6,10,0.0859999999999999,100.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,spearman,top_500,10,0.5242,0.0066298986082409,0.0041092537305722,0.508,0.532,10,0.0242,500.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,spearman,top_5pct,10,0.5746835443037974,0.0316877356211284,0.0196402620173791,0.5316455696202531,0.6329113924050633,10,0.0746835443037974,79.0,10,1574.0,787.0,787.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,codetection_odds_ratio,top_100,10,0.617,0.0298328677803526,0.0184906030188309,0.58,0.67,10,0.1169999999999999,100.0,10,1056.0,528.0,528.0,True
