source_group,dataset,condition,edge_set,repeat,metric,top_level,requested_top_n,actual_top_n,complete_threshold,total_pairs_ranked,positive_pairs_in_evaluation,negative_pairs_in_evaluation,curated_positive_in_top,curated_positive_fraction,balanced_random_baseline,delta_vs_0_5
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,9,codetection_odds_ratio,top_500,500,254,False,254,127,127,127,0.5,0.5,0.0
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,9,codetection_odds_ratio,top_5pct,5pct,13,True,254,127,127,10,0.7692307692307693,0.5,0.2692307692307693
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,pearson,top_100,100,100,True,178,89,89,47,0.47,0.5,-0.03
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,pearson,top_500,500,178,False,178,89,89,89,0.5,0.5,0.0
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,pearson,top_5pct,5pct,9,True,178,89,89,6,0.6666666666666666,0.5,0.1666666666666666
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,spearman,top_100,100,100,True,178,89,89,49,0.49,0.5,-0.01
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,spearman,top_500,500,178,False,178,89,89,89,0.5,0.5,0.0
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,spearman,top_5pct,5pct,9,True,178,89,89,6,0.6666666666666666,0.5,0.1666666666666666
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,mutual_information,top_100,100,100,True,178,89,89,48,0.48,0.5,-0.02
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,mutual_information,top_500,500,178,False,178,89,89,89,0.5,0.5,0.0
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,mutual_information,top_5pct,5pct,9,True,178,89,89,6,0.6666666666666666,0.5,0.1666666666666666
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,coexpression_probability,top_100,100,100,True,178,89,89,49,0.49,0.5,-0.01
