run_dir,dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,4,766,766,0,0,0.0,0,0,0.0040550550028444,-0.0020252485766023
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,5,766,766,0,0,0.0,0,0,0.0058804306685674,-0.0023356980689341
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,6,766,766,0,0,0.0,0,0,0.0061155846822603,-0.0028838254057245
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,7,766,766,0,0,0.0,0,0,0.006744477161588,-0.0030348958813281
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,8,766,766,0,0,0.0,0,0,0.0064076260255033,-0.0022614779332995
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,9,766,766,0,0,0.0,0,0,0.0060930212295365,-0.0035284225088354
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,0,213,213,0,0,0.0,0,0,0.0085212813203359,-0.00499449394933
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,1,213,213,0,0,0.0,0,0,0.0086271419356199,-0.0036420073764268
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,2,213,213,0,0,0.0,0,0,0.0078691316946995,-0.0059176674612756
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,3,213,213,0,0,0.0,0,0,0.0089234766797614,-0.0060520493023893
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,4,213,213,0,0,0.0,0,0,0.0067608722619286,-0.0060955657103923
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,5,213,213,0,0,0.0,0,0,0.0104058388415407,-0.0035188963171581
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,6,213,213,0,0,0.0,0,0,0.0126161957666964,-0.0025369650221327
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,7,213,213,0,0,0.0,0,0,0.0081669385084124,-0.0028234227046651
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,8,213,213,0,0,0.0,0,0,0.0102368126974667,-0.0036441918196256
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,9,213,213,0,0,0.0,0,0,0.009562562452355,-0.0034173832618896
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,0,997,997,0,0,0.0,0,0,0.0058401318652114,-0.0019502308648259
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,1,997,997,0,0,0.0,0,0,0.0062198488861198,-0.0026453889340215
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,2,997,997,0,0,0.0,0,0,0.0061273818389426,-0.0027072173172753
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,3,997,997,0,0,0.0,0,0,0.0070370041139932,-0.0030414478882314
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,4,997,997,0,0,0.0,0,0,0.006192348839876,-0.002512708182577
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,5,997,997,0,0,0.0,0,0,0.0070637020834711,-0.0023075504617916
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,6,997,997,0,0,0.0,0,0,0.0065994566186998,-0.0026206446164534
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,7,997,997,0,0,0.0,0,0,0.0066651946316532,-0.0040083995998137
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,8,997,997,0,0,0.0,0,0,0.0073042391899987,-0.0028573012334457
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,9,997,997,0,0,0.0,0,0,0.0058705077399574,-0.0020949465915181
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,0,155,155,0,0,0.0,0,0,0.0191525979966545,-0.0066027833572248
