run_dir,dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,coexpression_probability,5,454,454,0.5,0.5387936889906655,0.5237802938874023,1.0869565217391304,0.0170678980648517,0.0146355661563575,0.0024323319084942,0.0775873779813309
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,codetection_odds_ratio,5,454,454,0.5,0.5717314521919695,0.5744985248501274,1.434782608695652,1.339353621006012,1.2856176495552063,0.0537359714508056,0.143462904383939
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,pearson,6,454,454,0.5,0.5466096761047177,0.5644902374156133,1.3478260869565215,0.040945490822196,0.0357482060790061,0.0051972847431898,0.0932193522094355
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,spearman,6,454,454,0.5,0.5415057540414135,0.5639722829886843,1.391304347826087,0.034876175224781,0.0295102456584572,0.0053659295663237,0.083011508082827
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,mutual_information,6,454,454,0.5,0.5411079198121447,0.5576577044299864,1.3478260869565215,0.0006590003031305,0.0004578159423545,0.000201184360776,0.0822158396242891
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,coexpression_probability,6,454,454,0.5,0.544892196627142,0.5288592026824619,1.0869565217391304,0.0170678980648517,0.0139703126624226,0.0030975854024291,0.0897843932542838
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,codetection_odds_ratio,6,454,454,0.5,0.6067699741892915,0.5999621666619146,1.391304347826087,1.339353621006012,1.2361240983009338,0.1032295227050781,0.2135399483785829
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,pearson,7,454,454,0.5,0.5511993246521376,0.5601455872385136,1.0869565217391304,0.040945490822196,0.0332232024520635,0.0077222883701324,0.1023986493042752
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,spearman,7,454,454,0.5,0.5417968522579519,0.5565990712857152,1.2608695652173914,0.034876175224781,0.030210455879569,0.0046657193452119,0.0835937045159036
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,mutual_information,7,454,454,0.5,0.5408119699586641,0.5518831408104854,1.173913043478261,0.0006590003031305,0.0004474319284781,0.0002115683746524,0.0816239399173281
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,coexpression_probability,7,454,454,0.5,0.5452390886685168,0.5276601549466567,1.0434782608695652,0.0170678980648517,0.0138871562667191,0.0031807417981326,0.0904781773370335
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,codetection_odds_ratio,7,454,454,0.5,0.6027334122532942,0.5970738374056986,1.391304347826087,1.339353621006012,1.2414631843566897,0.0978904366493225,0.2054668245065884
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,pearson,8,454,454,0.5,0.537415824099051,0.55530248544235,1.2173913043478262,0.040945490822196,0.0349125564098358,0.0060329344123601,0.0748316481981019
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,spearman,8,454,454,0.5,0.5287556521570378,0.5532621519561443,1.3043478260869563,0.034876175224781,0.0319447834044694,0.0029313918203115,0.0575113043140755
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,mutual_information,8,454,454,0.5,0.5286246579595956,0.5466408648708354,1.3043478260869563,0.0006590003031305,0.0005354611203074,0.0001235391828231,0.0572493159191911
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,coexpression_probability,8,454,454,0.5,0.5493896640726581,0.5302497942370857,1.0869565217391304,0.0170678980648517,0.0141158374026417,0.0029520606622099,0.0987793281453162
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,codetection_odds_ratio,8,454,454,0.5,0.6056589493295037,0.5987762905250124,1.434782608695652,1.339353621006012,1.236479938030243,0.102873682975769,0.2113178986590076
