collection,pathway,msigdb_name,gene
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PRDX3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PREB
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PTCD3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,PTGER3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,QDPR
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,RAB34
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,REEP5
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,REEP6
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,RETN
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,RETSAT
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,RIOK3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,RMDN3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,RNF11
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,RREB1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,RTN3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SAMM50
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SCARB1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SCP2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SDHB
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SDHC
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SLC19A1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SLC1A5
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SLC25A1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SLC25A10
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SLC27A1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SLC5A6
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SLC66A3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SNCG
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SOD1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SORBS1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SOWAHC
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SPARCL1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SQOR
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SSPN
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,STAT5A
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,STOM
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SUCLG1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,SULT1A1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,TALDO1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,TANK
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,TKT
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,TOB1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,TST
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,UBC
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,UBQLN1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,UCK1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,UCP2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,UQCR10
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,UQCR11
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,UQCRC1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,UQCRQ
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,VEGFB
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,YWHAG
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,AARS1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ABCE1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ABI1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ACHE
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ACVR2A
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,AKT1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,APBB1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,B2M
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,BCAT1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,BCL10
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,BCL3
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,BRCA1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,C2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CAPG
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CARTPT
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCL11
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCL13
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCL19
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCL2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCL22
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCL4
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCL5
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCL7
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCND2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCND3
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCR1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCR2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CCR5
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD1D
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD247
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD28
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD3D
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD3E
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD3G
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD4
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD40
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD40LG
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD47
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD7
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD74
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD79A
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD80
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD86
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD8A
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD8B
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CD96
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CDKN2A
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CFP
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CRTAM
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CSF1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CSK
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CTSS
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CXCL13
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CXCL9
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,CXCR3
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,DARS1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,DEGS1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,DYRK3
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,EGFR
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,EIF3A
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,EIF3D
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,EIF3J
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,EIF4G3
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,EIF5A
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ELANE
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ELF4
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,EREG
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ETS1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,F2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,F2R
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,FAS
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,FASLG
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,FCGR2B
