source_group,pathway,top_level,combinations,combinations_fdr_in_at_least_5_repeats,median_fold_enrichment,best_bh_fdr
hcl_adult_celltype,Allograft Rejection,top_5pct,140,7,2.400012816131237,0.0040558648094279
hcl_adult_celltype,Tgf Beta Signaling,top_5pct,140,7,1.965862428634168,0.0014920970441851
hcl_adult_celltype,Il6 Jak Stat3 Signaling,top_5pct,140,5,2.471590909090909,0.000305104322003
hcl_adult_celltype,Kras Signaling Up,top_5pct,140,5,1.6281300500969618,0.0032606423386347
hcl_adult_celltype,Estrogen Response Early,top_5pct,140,4,2.7754807692307697,0.0108293048744221
hcl_adult_celltype,Glycolysis,top_5pct,140,3,2.148604269293924,4.041028189589384e-07
hcl_adult_celltype,Epithelial Mesenchymal Transition,top_5pct,140,2,2.1643999645047862,0.0108602665468888
hcl_adult_celltype,Myc Targets V2,top_5pct,135,1,3.58470695970696,0.0299221160273961
hcl_adult_celltype,Wnt Beta Catenin Signaling,top_5pct,140,0,4.831250000000001,0.0787024597636039
hcl_adult_celltype,E2F Targets,top_5pct,140,0,2.266768053375196,0.1086738643560479
hcl_adult_celltype,Reactive Oxygen Species Pathway,top_5pct,140,0,2.0541778610482657,0.0036759279009838
hcl_adult_celltype,Complement,top_5pct,140,0,1.3616704345559258,0.0835957278166351
hcl_adult_celltype,Fatty Acid Metabolism,top_5pct,140,0,1.2176033220305666,0.0864413004108345
hcl_adult_celltype,Myc Targets V1,top_5pct,140,0,1.1169677373381075,0.1064167514500272
hcl_adult_celltype,Estrogen Response Late,top_5pct,140,0,1.076115280676752,0.060721388729149
hcl_adult_celltype,Adipogenesis,top_5pct,140,0,0.0,0.439085923184671
hcl_adult_celltype,Androgen Response,top_5pct,140,0,0.0,0.2294866985453182
hcl_adult_celltype,Angiogenesis,top_5pct,140,0,0.0,0.1376849462825472
hcl_adult_celltype,Apical Junction,top_5pct,140,0,0.0,0.0440992342509251
hcl_adult_celltype,Apical Surface,top_5pct,140,0,0.0,0.2487627355574618
hcl_adult_celltype,Bile Acid Metabolism,top_5pct,140,0,0.0,0.5267243279186348
hcl_adult_celltype,Coagulation,top_5pct,140,0,0.0,0.3213462497626324
hcl_adult_celltype,Dna Repair,top_5pct,140,0,0.0,0.3971934409278752
hcl_adult_celltype,Hedgehog Signaling,top_5pct,140,0,0.0,0.1437814521926671
hcl_adult_celltype,Heme Metabolism,top_5pct,140,0,0.0,0.1831311281166719
hcl_adult_celltype,Interferon Alpha Response,top_5pct,140,0,0.0,0.2627145297299657
hcl_adult_celltype,Kras Signaling Dn,top_5pct,135,0,0.0,1.0
hcl_adult_celltype,Mitotic Spindle,top_5pct,140,0,0.0,0.0848506449605394
hcl_adult_celltype,Notch Signaling,top_5pct,135,0,0.0,1.0
hcl_adult_celltype,Oxidative Phosphorylation,top_5pct,140,0,0.0,0.3978710436812251
hcl_adult_celltype,Pancreas Beta Cells,top_5pct,130,0,0.0,0.1108998732572876
hcl_adult_celltype,Peroxisome,top_5pct,140,0,0.0,0.3829662859497782
hcl_adult_celltype,Protein Secretion,top_5pct,140,0,0.0,0.4938617962185428
hcl_adult_celltype,Spermatogenesis,top_5pct,120,0,0.0,0.187446443873179
