dataset,condition,edge_set,metric,auroc_mean_refined,auprc_mean_refined,enrichment_at_5pct_mean_refined,median_difference_mean_refined,cliffs_delta_mean_refined,auroc_mean_current,auprc_mean_current,enrichment_at_5pct_mean_current,median_difference_mean_current,cliffs_delta_mean_current,delta_auroc_refined_minus_current,delta_auprc_refined_minus_current,delta_enrichment_at_5pct_refined_minus_current,delta_median_difference_refined_minus_current,delta_cliffs_delta_refined_minus_current
PBMC10k,all,dorothea_ab,coexpression_probability,0.5040511013777133,0.5027093814844961,1.008695652173913,0.0008336089551448947,0.008102202755426568,0.5220885807862741,0.5180833099770917,1.0696461824953445,0.0058186076581478,0.0441771615725481,-0.01803747940856082,-0.015373928492595668,-0.060950530321431495,-0.004984998703002905,-0.03607495881712153
PBMC10k,all,dorothea_ab,mutual_information,0.5088429975984671,0.5055879793967556,1.0102079395085066,0.0005298566999999997,0.017685995196933924,0.5390862855696862,0.5437270198719039,1.2890130353817504,0.0017830236,0.0781725711393724,-0.030243287971219113,-0.03813904047514827,-0.27880509587324376,-0.0012531669000000003,-0.060486575942438475
PBMC10k,all,dorothea_ab,pearson,0.5206597209346054,0.5141210633854695,1.0207939508506616,0.0058260232210159794,0.04131944186921084,0.5788925546115079,0.5769768983108012,1.327001862197393,0.0180328264832496,0.1577851092230157,-0.05823283367690246,-0.06285583492533175,-0.3062079113467313,-0.012206803262233619,-0.11646566735380486
PBMC10k,all,dorothea_ab,spearman,0.5194717867076669,0.513843269594851,1.0109640831758033,0.00505286492407327,0.03894357341533379,0.5801534430731052,0.5764371220892374,1.3027932960893855,0.018144704028964,0.1603068861462104,-0.06068165636543832,-0.06259385249438632,-0.2918292129135822,-0.013091839104890729,-0.1213633127308766
PBMC10k,all,trrust,codetection_odds_ratio,0.5098983949602444,0.5200564325589359,1.1278195488721805,0.025043022632599055,0.019796789920488632,0.5518688715400841,0.5739110938914356,1.3450549450549452,0.120058798789978,0.103737743080168,-0.041970476579839766,-0.05385466133249972,-0.21723539618276466,-0.09501577615737894,-0.08394095315967937
PBMC10k,all,trrust,coexpression_probability,0.5020135103427089,0.5022201381411256,1.0045112781954888,-0.0005918644368648654,0.004027020685417803,0.5247817197991061,0.5302352081682297,1.178021978021978,0.0036512203514575,0.0495634395982121,-0.022768209456397237,-0.028015070027104017,-0.17351069982648926,-0.004243084788322365,-0.045536418912794294
PBMC10k,all,trrust,mutual_information,0.5055437326697213,0.5085463941838262,1.0518796992481203,5.232999999993382e-07,0.011087465339442581,0.5391051011136838,0.556420852468038,1.3794871794871797,0.0009532075,0.0782102022273677,-0.033561368443962514,-0.047874458284211774,-0.3276074802390594,-0.0009526842000000007,-0.06712273688792512
PBMC10k,all,trrust,pearson,0.5219777210538545,0.5224477738132983,1.0714285714285716,0.0039643883705139495,0.043955442107709096,0.5989328253580238,0.6041389711518618,1.432967032967033,0.0152921074070036,0.1978656507160476,-0.0769551043041693,-0.08169119733856345,-0.36153846153846136,-0.011327719036489652,-0.15391020860833848
PBMC10k,all,trrust,spearman,0.5146321729940845,0.5184343001159639,1.0390977443609022,0.002878802269697161,0.02926434598816898,0.5867476128597582,0.5956891934643422,1.4219780219780218,0.0154125522822141,0.1734952257195162,-0.0721154398656737,-0.07725489334837832,-0.3828802776171196,-0.012533750012516939,-0.1442308797313472
PBMC10k,all,trrust_dorothea_intersection,codetection_odds_ratio,0.5185263188635343,0.5259474056130049,1.1685185185185185,0.030449962615967018,0.03705263772706853,0.5771423722030169,0.6023762039070515,1.5053571428571428,0.2006219387054443,0.1542847444060337,-0.05861605333948261,-0.07642879829404658,-0.3368386243386243,-0.1701719760894773,-0.11723210667896518
PBMC10k,all,trrust_dorothea_intersection,coexpression_probability,0.5030362270354678,0.5032596027899938,1.0203703703703704,-0.0010253421962261255,0.006072454070935485,0.5254016985857002,0.5321495130244375,1.167857142857143,0.0025925286114215,0.0508033971714003,-0.022365471550232385,-0.02888991023444365,-0.14748677248677255,-0.0036178708076476255,-0.04473094310046481
PBMC10k,all,trrust_dorothea_intersection,mutual_information,0.5107615175895712,0.5083673778773072,1.0351851851851852,7.178639999999882e-05,0.021523035179142447,0.54773118175904,0.5672886048857974,1.4946428571428572,0.0012075375,0.0954623635180799,-0.036969664169468786,-0.05892122700849012,-0.45945767195767195,-0.0011357511000000013,-0.07393932833893746
PBMC10k,all,trrust_dorothea_intersection,pearson,0.5261674344057631,0.5206166335287981,1.0574074074074074,0.007403181120753282,0.05233486881152614,0.6240351982993079,0.6259280544385031,1.5446428571428572,0.0258342150598764,0.2480703965986157,-0.09786776389354479,-0.10531142090970502,-0.48723544973544985,-0.01843103393912312,-0.19573552778708958
PBMC10k,all,trrust_dorothea_intersection,spearman,0.5196289256262234,0.5174371275081799,1.0703703703703704,0.004295414686202995,0.03925785125244692,0.6124084010561273,0.6183184302014084,1.5142857142857142,0.0236928015947342,0.2248168021122544,-0.09277947542990383,-0.10088130269322848,-0.4439153439153438,-0.019397386908531204,-0.1855589508598075
