dataset,condition,edge_set,score_definition,metric,n_repeats,n_positive_mean,n_negative_mean,random_auprc_baseline,auroc_mean,auroc_sd,auprc_mean,auprc_sd,enrichment_at_5pct_mean,enrichment_at_5pct_sd,median_difference_mean,median_difference_sd,cliffs_delta_mean,cliffs_delta_sd,positive_median_mean,negative_median_mean,auroc_ci95_low,auroc_ci95_high,auprc_ci95_low,auprc_ci95_high,enrichment_at_5pct_ci95_low,enrichment_at_5pct_ci95_high,median_difference_ci95_low,median_difference_ci95_high,cliffs_delta_ci95_low,cliffs_delta_ci95_high
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,301.0,301.0,0.5,0.5870200108166577,0.014660484687326638,0.5741951492198065,0.014350122692968861,1.1419354838709677,0.10986700881242834,0.09215699434280396,0.01957477782884356,0.1740400216333153,0.029320969374653297,1.2872028350830078,1.1950458407402038,0.5765325318509666,0.5975074897823487,0.5639296898501245,0.5844606085894886,1.063341360380645,1.2205296073612903,0.07815404184045342,0.1061599468451545,0.1530650637019332,0.1950149795646974
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,301.0,301.0,0.5,0.5272910895023234,0.0058977655884910095,0.5250125062559875,0.005358491875951254,1.0064516129032257,0.08709013647878101,0.0015882719308137894,0.0004840095966682565,0.05458217900464677,0.011795531176981938,0.02199144847691059,0.020403176546096802,0.5230720821589069,0.5315100968457399,0.521179272087035,0.52884574042494,0.9441510823327777,1.0687521434736738,0.001242032323289833,0.0019345115383377458,0.046144164317813874,0.06302019369147967
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,mutual_information,10,301.0,301.0,0.5,0.516724980960475,0.008015458334927818,0.5163394466049709,0.006207224385924735,0.9483870967741936,0.04354506823939052,0.0002973241964355111,0.00017835762082587798,0.03344996192095011,0.016030916669855656,0.0018284216057509184,0.0015310974093154072,0.5109910674862093,0.5224588944347408,0.5118990657737024,0.5207798274362394,0.9172368314889696,0.9795373620594177,0.000169734840648449,0.0004249135522225732,0.021982134972418653,0.04491778886948156
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,pearson,10,301.0,301.0,0.5,0.5331210472290593,0.009744846314912039,0.5339008185647316,0.007816052081045051,1.096774193548387,0.06800597118641678,0.004360530897974968,0.001364917552475336,0.06624209445811853,0.019489692629824053,0.029584158211946487,0.02522362731397152,0.5261500041202405,0.5400920903378781,0.528309551731271,0.5394920853981922,1.0481256524141722,1.1454227346826018,0.003384127700755854,0.005336934095194082,0.05230000824048095,0.08018418067575611
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,spearman,10,301.0,301.0,0.5,0.5336563614088145,0.01115697393327153,0.5360999266539355,0.008506209533982194,1.1032258064516127,0.07723993546695905,0.005137655884027481,0.0019144308514383683,0.06731272281762894,0.022313947866542966,0.03142029047012329,0.02628263458609581,0.5256751430561158,0.541637579761513,0.5300149509203217,0.5421849023875492,1.0479716851999925,1.158479927703233,0.0037681545534823816,0.006507157214572581,0.05135028611223177,0.08327515952302611
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,294.0,294.0,0.5,0.5835143921514183,0.006425024798850335,0.5765419873160849,0.004683271870029652,1.2666666666666666,0.09428090415820631,0.10433799624443055,0.01608618075202325,0.16702878430283674,0.012850049597700667,1.3645514249801636,1.260213428735733,0.5789182062906442,0.5881105780121925,0.5731917764414057,0.579892198190764,1.1992221707776411,1.334111162555692,0.09283063575306938,0.11584535673579172,0.1578364125812885,0.17622115602438498
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,294.0,294.0,0.5,0.5191118284048313,0.004121813879794742,0.5187176840794696,0.00313124581429069,1.0666666666666667,0.0,0.0012884176336228847,0.0006213411961828489,0.038223656809662644,0.008243627759589523,0.030667024664580822,0.02937860703095794,0.5161632603808689,0.5220603964287936,0.5164777257619817,0.5209576423969575,1.0666666666666667,1.0666666666666667,0.0008439369179806518,0.0017328983492651176,0.03232652076173795,0.04412079285758734
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,10,294.0,294.0,0.5,0.5129483085751307,0.005943122283932694,0.5071061524630073,0.0019738210052730894,1.04,0.034426518632954844,0.0002451843582093716,0.0002703714407127681,0.02589661715026148,0.01188624456786548,0.003942709416151047,0.003697525057941675,0.5086968550063988,0.5171997621438627,0.5056941659757709,0.5085181389502437,1.015372752148011,1.0646272478519891,5.177228092314651e-05,0.00043859643549559664,0.017393710012797665,0.034399524287725296
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,10,294.0,294.0,0.5,0.5280091628488129,0.01081591083422977,0.5331109828989777,0.005394660319081077,1.1333333333333333,0.0,0.003958616685122251,0.0012864557569518356,0.05601832569762597,0.021631821668459495,0.02796993777155876,0.02401132108643651,0.5202719263393795,0.5357463993582464,0.5292518753844547,0.5369700904135007,1.1333333333333333,1.1333333333333333,0.003038341675184312,0.004878891695060191,0.04054385267875898,0.07149279871649297
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,10,294.0,294.0,0.5,0.53295039104077,0.008643495326452501,0.5291915089244237,0.003792798336035307,1.1199999999999999,0.028109134757052266,0.004278250876814127,0.00117542745047886,0.06590078208154011,0.01728699065290503,0.03236093185842037,0.028082680981606246,0.5267672069674234,0.5391335751141166,0.5264783044418554,0.531904713406992,1.099891936331191,1.1401080636688088,0.0034374007326678497,0.005119101020960405,0.05353441393484693,0.07826715022823329
PBMC10k,all,dorothea_ab,formal_abs,codetection_odds_ratio,10,5283.0,5283.0,0.5,0.5178779902851618,0.00275562507467519,0.5180667054011145,0.002254629840207848,1.0820415879017014,0.01660458131518649,0.03173196315765381,0.006003392257415375,0.03575598057032352,0.005511250149350356,1.6113693714141846,1.5796374082565308,0.5159067348577768,0.5198492457125468,0.5164538403745551,0.519679570427674,1.0701633859874315,1.0939197898159712,0.027437395047169518,0.036026531268138096,0.03181346971555359,0.03969849142509344
PBMC10k,all,dorothea_ab,formal_abs,coexpression_probability,10,5283.0,5283.0,0.5,0.5040511013777133,0.0008694193071390731,0.5027093814844961,0.0005008316809869578,1.008695652173913,0.009729179113103337,0.0008336089551448947,0.00039881779422561376,0.008102202755426568,0.0017388386142781066,0.0791930630803108,0.0783594541251659,0.5034291562721828,0.5046730464832437,0.5023511080827822,0.50306765488621,1.001735816706105,1.015655487641721,0.0005483118918288301,0.0011189060184609593,0.006858312544365724,0.009346092966487413
PBMC10k,all,dorothea_ab,formal_abs,mutual_information,10,5283.0,5283.0,0.5,0.5088429975984671,0.001444214804470325,0.5055879793967556,0.001013194256202845,1.0102079395085066,0.015414124613908724,0.0005298566999999997,0.00019447224061378116,0.017685995196933924,0.002888429608940599,0.016696125,0.0161662683,0.5078098685644102,0.5098761266325239,0.5048631838885094,0.5063127749050018,0.9991813390167334,1.0212345400002798,0.00039073963966086104,0.0006689737603391383,0.01561973712882038,0.019752253265047467
PBMC10k,all,dorothea_ab,formal_abs,pearson,10,5283.0,5283.0,0.5,0.5206597209346054,0.0027975078895016584,0.5141210633854695,0.0018009649277005032,1.0207939508506616,0.010543919679068403,0.0058260232210159794,0.0007661912970107575,0.04131944186921084,0.005595015779003327,0.0512348972260952,0.04540887400507922,0.5186585043463936,0.5226609375228173,0.5128327306870606,0.5154093960838784,1.013251285092431,1.0283366166088923,0.005277922985418576,0.006374123456613383,0.0373170086927872,0.04532187504563448
PBMC10k,all,dorothea_ab,formal_abs,spearman,10,5283.0,5283.0,0.5,0.5194717867076669,0.0027964787121386742,0.513843269594851,0.0016657479008393354,1.0109640831758033,0.00801020722473627,0.00505286492407327,0.0009621615158746153,0.03894357341533379,0.00559295742427735,0.0687224417924881,0.06366957686841482,0.5174713063485892,0.5214722670667447,0.5126516653304096,0.5150348738592925,1.0052339261194772,1.0166942402321295,0.0043645760390505686,0.005741153809095971,0.03494261269717828,0.0429445341334893
PBMC10k,all,trrust,formal_abs,codetection_odds_ratio,10,2651.0,2651.0,0.5,0.5098983949602444,0.004850295563947885,0.5200564325589359,0.0030853415916018566,1.1278195488721805,0.02324215161778371,0.025043022632599055,0.01512492068294302,0.019796789920488632,0.009700591127895801,1.648478507995606,1.6234354853630066,0.5064287025326631,0.5133680873878256,0.5178493121441607,0.522263552973711,1.1111931152032022,1.1444459825411588,0.014223306170070872,0.03586273909512724,0.012857405065326118,0.026736174775651145
PBMC10k,all,trrust,formal_abs,coexpression_probability,10,2651.0,2651.0,0.5,0.5020135103427089,0.0011394201957953534,0.5022201381411256,0.0007296143106047951,1.0045112781954888,0.015930073766486984,-0.0005918644368648654,0.0004771771602209553,0.004027020685417803,0.0022788403915906847,0.0725241750478744,0.07311603948473926,0.5011984182368648,0.502828602448553,0.5016982035053527,0.5027420727768986,0.9931155899142984,1.015906966476679,-0.0009332164137917627,-0.00025051245993796796,0.002396836473729743,0.005657204897105863
PBMC10k,all,trrust,formal_abs,mutual_information,10,2651.0,2651.0,0.5,0.5055437326697213,0.0018097981589706514,0.5085463941838262,0.0015926667661093309,1.0518796992481203,0.027097820392532293,5.232999999993382e-07,0.00022029433083329425,0.011087465339442581,0.003619596317941371,0.014402633500000001,0.014402110200000002,0.5042490810583214,0.5068383842811212,0.5074070690138087,0.5096857193538437,1.0324950862940598,1.0712643122021808,-0.00015706577090379839,0.00015811237090379706,0.00849816211664272,0.013676768562242442
