tf,target,mode,weight,confidence,tf_detection_rate,tf_mean_counts,target_detection_rate,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
CREB1,UXT,Activation,1.0,A,0.0575748320097741,0.0642944410507026,0.2692425167990218,0.3349114233353626,0.08433307852342768,1.92902115729787,27
CREM,CD247,Repression,-1.0,A,0.3682040317654069,0.8162797800854928,0.1108735491753215,0.1421808185705569,-0.00044595444292022587,0.533867127412135,28
CREM,DUSP1,Repression,-1.0,A,0.3682040317654069,0.8162797800854928,0.3023824068417773,0.6168295662797616,0.2083442471889414,2.220967564708821,29
CREM,FOS,Repression,-1.0,A,0.3682040317654069,0.8162797800854928,0.1464569334147843,0.2357971899816755,0.040734352378295154,0.84733953721289,30
E2F4,MYC,Repression,-1.0,A,0.0537568723274283,0.0571166768478926,0.1101099572388523,0.230452046426391,0.038383111368927046,0.5271402516653373,31
ELF2,VCP,Activation,1.0,A,0.0539095907147221,0.0581857055589494,0.1899816737935264,0.2336591325595622,0.039793855974548126,1.2307714547803377,32
FOS,CREM,Activation,1.0,A,0.1464569334147843,0.2357971899816755,0.3682040317654069,0.8162797800854928,0.2960791259956362,2.800824254082645,33
FOS,CSTA,Activation,1.0,A,0.1464569334147843,0.2357971899816755,0.0626145387904705,0.0720830788026881,-0.03128080082291682,0.10872858021454318,34
FOS,DDIT3,Activation,1.0,A,0.1464569334147843,0.2357971899816755,0.0960598656078198,0.1098045204642645,-0.01468775712823458,0.40336573792426694,35
FOS,EZR,Activation,1.0,A,0.1464569334147843,0.2357971899816755,0.2370189370800267,0.3408674404398228,0.08695303279100942,1.6451470007830533,36
FOS,GSTP1,Activation,1.0,A,0.1464569334147843,0.2357971899816755,0.5113011606597015,1.158674404398232,0.4466929072242766,4.061440769032236,37
FOS,HSPH1,Activation,1.0,A,0.1464569334147843,0.2357971899816755,0.1192730604764822,0.1864691508857678,0.019035756777556787,0.6078627606269051,38
FOS,MYC,Activation,1.0,A,0.1464569334147843,0.2357971899816755,0.1101099572388523,0.230452046426391,0.038383111368927046,0.5271402516653373,39
FOS,NFKB1,Repression,-1.0,A,0.1464569334147843,0.2357971899816755,0.1195784972510699,0.1469150885766657,0.0016365733082342316,0.6105535109256244,40
FOS,PDHA1,Activation,1.0,A,0.1464569334147843,0.2357971899816755,0.0815516188149057,0.0891875381795972,-0.023756829592939472,0.2755550987351172,41
FOS,PLAUR,Activation,1.0,A,0.1464569334147843,0.2357971899816755,0.4045510079413323,1.4934331093463264,0.5939477727252692,3.12102353963014,42
HBP1,MIF,Repression,-1.0,A,0.1337813072693963,0.1588271227855846,0.0693341478313992,0.0759010384850339,-0.029601342959082583,0.1679250867863604,43
HBP1,NCF1,Repression,-1.0,A,0.1337813072693963,0.1588271227855846,0.0916310323762986,0.1310323762981069,-0.005349971405316316,0.3643498585928418,44
HIF1A,ALDOA,Activation,1.0,A,0.1475259621258411,0.1844838118509483,0.4886988393402185,0.8877519853389899,0.327518577206606,3.862325246927071,45
HIF1A,BAX,Activation,1.0,A,0.1475259621258411,0.1844838118509483,0.3118509468539931,0.4332620647525814,0.1275959130957937,2.304380823969092,46
HIF1A,CXCR4,Activation,1.0,A,0.1475259621258411,0.1844838118509483,0.6585216860109289,2.05650580329864,0.8416342184835232,5.3583824130145254,47
