dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,coexpression_probability,7,301,301,0.5,0.5243816293418395,0.5192399514682102,0.9032258064516129,0.02199144847691059,0.020158827304840088,0.0018326211720705032,0.048763258683679034
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,7,301,301,0.5,0.5874272910895023,0.5716402947243664,1.032258064516129,1.2872028350830078,1.1957861185073853,0.09141671657562256,0.17485458217900463
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,pearson,8,301,301,0.5,0.5376541097780377,0.539947722568296,1.2258064516129032,0.029584158211946487,0.024154137820005417,0.0054300203919410706,0.07530821955607547
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,spearman,8,301,301,0.5,0.5454244434388142,0.5459418738326186,1.2258064516129032,0.03142029047012329,0.024295657873153687,0.0071246325969696045,0.09084888687762827
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,mutual_information,8,301,301,0.5,0.5252977340205958,0.5232939774992194,1.032258064516129,0.0018284216057509184,0.001302286284044385,0.0005261353217065334,0.05059546804119153
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,coexpression_probability,8,301,301,0.5,0.5297678833566959,0.526098751706772,1.032258064516129,0.02199144847691059,0.020158827304840088,0.0018326211720705032,0.05953576671339178
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,8,301,301,0.5,0.595076213286829,0.5820951407177402,1.2258064516129032,1.2872028350830078,1.1732447147369385,0.11395812034606934,0.19015242657365805
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,pearson,9,301,301,0.5,0.5418593613757023,0.538360367240189,1.096774193548387,0.029584158211946487,0.026359278708696365,0.003224879503250122,0.08371872275140446
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,spearman,9,301,301,0.5,0.5397181046566815,0.5387668573992435,1.032258064516129,0.03142029047012329,0.02619430422782898,0.0052259862422943115,0.07943620931336293
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,mutual_information,9,301,301,0.5,0.5147625302148983,0.5125340468803001,0.9032258064516129,0.0018284216057509184,0.0015216364990919828,0.00030678510665893555,0.029525060429796524
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,coexpression_probability,9,301,301,0.5,0.5213684175671349,0.5213415900642189,1.032258064516129,0.02199144847691059,0.020769700407981873,0.0012217480689287186,0.04273683513427007
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,9,301,301,0.5,0.5813401618083686,0.5626895588642049,0.967741935483871,1.2872028350830078,1.191549301147461,0.09565353393554688,0.16268032361673712
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,0,294,294,0.5,0.5352283770651117,0.5383255423554071,1.1333333333333333,0.02796993777155876,0.023652685806155205,0.004317251965403557,0.07045675413022345
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,0,294,294,0.5,0.5401800175852655,0.5341863463149379,1.1333333333333333,0.03236093185842037,0.027770088985562325,0.0045908428728580475,0.0803600351705307
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,0,294,294,0.5,0.519789208200287,0.5082465052642142,1.0,0.003942709416151047,0.0031892985571175814,0.0007534108590334654,0.03957841640057391
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,0,294,294,0.5,0.5144326438058217,0.514795897390087,1.0666666666666667,0.030667024664580822,0.029794657602906227,0.0008723670616745949,0.02886528761164331
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,0,294,294,0.5,0.5804583738257207,0.5762447512397284,1.2666666666666666,1.3645514249801636,1.264889419078827,0.09966200590133667,0.16091674765144148
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,1,294,294,0.5,0.5387569993983988,0.5354935319827127,1.1333333333333333,0.02796993777155876,0.023345612920820713,0.0046243248507380486,0.07751399879679766
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,1,294,294,0.5,0.5407122032486464,0.530322554492618,1.1333333333333333,0.03236093185842037,0.027510715648531914,0.004850216209888458,0.08142440649729288
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,1,294,294,0.5,0.51103706788838,0.5050516472253729,1.0,0.003942709416151047,0.00394547451287508,-2.7650967240333557e-06,0.022074135776759762
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,1,294,294,0.5,0.517949696885557,0.5161204463229917,1.0666666666666667,0.030667024664580822,0.029459132812917233,0.0012078918516635895,0.03589939377111384
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,1,294,294,0.5,0.5804815123328243,0.5693019540535156,1.1333333333333333,1.3645514249801636,1.268371820449829,0.09617960453033447,0.1609630246656486
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,2,294,294,0.5,0.5329376648618631,0.5310417543504853,1.1333333333333333,0.02796993777155876,0.022481334395706654,0.005488603375852108,0.06587532972372623
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,2,294,294,0.5,0.5420773751677542,0.5299606057843862,1.0666666666666667,0.03236093185842037,0.02650036010891199,0.005860571749508381,0.08415475033550845
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,2,294,294,0.5,0.5200148086445462,0.5088591997908449,1.0666666666666667,0.003942709416151047,0.0035453035961836576,0.0003974058199673891,0.0400296172890926
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,2,294,294,0.5,0.5152540608079967,0.5134705586311459,1.0666666666666667,0.030667024664580822,0.030331498943269253,0.0003355257213115692,0.030508121615993256
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,2,294,294,0.5,0.5858322921005137,0.5727429778246428,1.0666666666666667,1.3645514249801636,1.244737148284912,0.11981427669525146,0.17166458420102737
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,3,294,294,0.5,0.523219491878384,0.5312632982330532,1.1333333333333333,0.02796993777155876,0.02481875941157341,0.0031511783599853516,0.046438983756768026
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,3,294,294,0.5,0.5303461520662687,0.526984295686572,1.1333333333333333,0.03236093185842037,0.028925360180437565,0.003435571677982807,0.060692304132537345
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,3,294,294,0.5,0.5105395899856541,0.5049175160549234,1.0666666666666667,0.003942709416151047,0.003842462319880724,0.0001002470962703228,0.02107917997130815
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,3,294,294,0.5,0.5217501966773104,0.5203296172437619,1.0666666666666667,0.030667024664580822,0.0287209777161479,0.0019460469484329224,0.04350039335462075
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,3,294,294,0.5,0.5837903188486278,0.5761180593189523,1.3333333333333333,1.3645514249801636,1.2562657594680786,0.10828566551208496,0.16758063769725573
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,4,294,294,0.5,0.5198065620806146,0.5331723442416996,1.1333333333333333,0.02796993777155876,0.024849938228726387,0.0031199995428323746,0.039613124161229196
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,4,294,294,0.5,0.5295247350640937,0.5300646308386644,1.1333333333333333,0.03236093185842037,0.028768695890903473,0.003592235967516899,0.0590494701281874
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,4,294,294,0.5,0.5187016983664214,0.510765893132469,1.0666666666666667,0.003942709416151047,0.003424134338274598,0.0005185750778764486,0.037403396732842875
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,4,294,294,0.5,0.5156416308019807,0.5188176960003363,1.0666666666666667,0.030667024664580822,0.029593342915177345,0.0010736817494034767,0.03128326160396133
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,4,294,294,0.5,0.5782833541579897,0.5738742211431345,1.3333333333333333,1.3645514249801636,1.266123652458191,0.09842777252197266,0.1565667083159794
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,5,294,294,0.5,0.5391966310333657,0.5330869126165647,1.1333333333333333,0.02796993777155876,0.02410620730370283,0.0038637304678559303,0.07839326206673136
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,5,294,294,0.5,0.5398676477393678,0.530041715361131,1.0666666666666667,0.03236093185842037,0.027401521801948547,0.004959410056471825,0.07973529547873581
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,5,294,294,0.5,0.5131311027812485,0.5069274639936827,1.0666666666666667,0.003942709416151047,0.003553039161488414,0.00038967025466263294,0.026262205562497032
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,5,294,294,0.5,0.5267654680919988,0.5238974970060883,1.0666666666666667,0.030667024664580822,0.028586767613887787,0.002080257050693035,0.05353093618399751
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,5,294,294,0.5,0.5938324309315564,0.5835454177412808,1.3333333333333333,1.3645514249801636,1.2486137747764587,0.11593765020370483,0.1876648618631125
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,6,294,294,0.5,0.534638345133972,0.540899087021194,1.1333333333333333,0.02796993777155876,0.022097633220255375,0.005872304551303387,0.06927669026794381
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,6,294,294,0.5,0.5347771761765931,0.5336469709861245,1.1333333333333333,0.03236093185842037,0.027308598160743713,0.005052333697676659,0.06955435235318608
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,6,294,294,0.5,0.5167985561571568,0.5083775796464991,1.0,0.003942709416151047,0.0036364737898111343,0.0003062356263399124,0.033597112314313504
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,6,294,294,0.5,0.5152309223008932,0.5188179371544366,1.0666666666666667,0.030667024664580822,0.030063079670071602,0.0006039449945092201,0.03046184460178636
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,6,294,294,0.5,0.5724466657411265,0.5736411627211051,1.3333333333333333,1.3645514249801636,1.2814279794692993,0.08312344551086426,0.1448933314822527
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,7,294,294,0.5,0.533863205146004,0.5378715968052115,1.1333333333333333,0.02796993777155876,0.023463843390345573,0.004506094381213188,0.06772641029200788
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,7,294,294,0.5,0.5342681290203156,0.5304631550876338,1.1333333333333333,0.03236093185842037,0.027662886306643486,0.004698045551776886,0.06853625804063124
