tf,target,mode,weight,confidence,tf_detection_rate,tf_mean_counts,target_detection_rate,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
NFKB1,ERAP1,Activation,0.5,B,0.2175239755884911,0.597646033129907,0.0662598081952921,0.1024411508282478,0.11413695469473449,0.4453701225830215,172
NFKB1,GATA3,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.09023539668701,0.160854402789887,0.3127946985949186,0.7766541963105694,173
NFKB1,GSTP1,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.2127288578901477,0.4934612031386254,1.4439578224444805,2.469214645718548,174
NFKB1,HDAC7,Activation,0.5,B,0.2175239755884911,0.597646033129907,0.1216216216216225,0.2367044463818661,0.5707532615697841,1.2103351655539045,175
NFKB1,HIF1A,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.1669572798605059,0.2955536181342643,0.7708935259468369,1.836763232238704,176
NFKB1,HLA-F,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.5531822144725502,1.6974716652135902,5.538679379551205,7.173448492649843,177
NFKB1,IER3,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.0527462946817785,0.1168265039232784,0.16306013043134718,0.25864637193658707,178
NFKB1,IRF1,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.2027027027027023,0.3866608544027924,1.080740305612054,2.330677669432486,179
NFKB1,IRF7,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.158238884045336,0.3081952920662609,0.8138866197759814,1.7162962963377808,180
NFKB1,JUNB,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.190061028770706,0.4149956408020945,1.17710413660841,2.156000612376148,181
NFKB1,KDM2A,Activation,0.5,B,0.2175239755884911,0.597646033129907,0.1765475152571927,0.2942458587619887,0.7664459645162356,1.969276861729718,182
NFKB1,MYC,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.0671316477768091,0.1455972101133393,0.2609064819045715,0.45741681617311397,183
NFKB1,NCOR2,Activation,0.5,B,0.2175239755884911,0.597646033129907,0.0723626852659112,0.1294681778552749,0.20605322426049136,0.5296969777136701,184
NFKB1,NFKBIA,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.2048823016564948,0.4612031386224957,1.3342513071563171,2.3607944034077173,185
NFKB1,NOLC1,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.0536181342632955,0.0841325196163906,0.05187109466631809,0.2706930655266795,186
NFKB1,PDE7A,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.0841325196163909,0.1124673060156935,0.14823492566267713,0.6923273411799208,187
NFKB1,PLAUR,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.0632083696599825,0.1342632955536184,0.22236094950602883,0.40320669501769646,188
NFKB1,SERPINB1,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.0876198779424589,0.2018308631211861,0.45215162342042076,0.7405141155402907,189
NFKB1,SOD2,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.1569311246730605,0.5440278988666104,1.6159301977610538,1.698226255952642,190
NFKB1,TNFAIP3,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.2925021795989547,0.8007846556233699,2.489134758635751,3.5714871092120277,193
NFKB1,TNFRSF10B,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.0793374019180473,0.1360069747166524,0.228291031413497,0.6260705264344111,194
NFKB1,TP53,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.1517000871839586,0.2698343504795122,0.6834248178116795,1.625946094412089,195
NFKB1,TRAF1,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.1076721883173502,0.2214472537053184,0.518865044879437,1.0175880681124214,196
NFKB1,XIAP,Activation,1.0,A,0.2175239755884911,0.597646033129907,0.091107236268527,0.1368788142981697,0.23125607236723206,0.7887008899006618,197
NFKB2,CCND2,Activation,1.0,A,0.0714908456843941,0.0932868352223193,0.1521360069747171,0.3142981691368798,0.8346419064521197,1.631969441207135,198
NFKB2,SND1,Activation,1.0,A,0.0714908456843941,0.0932868352223193,0.065387968613775,0.1085440278988668,0.13489224137087308,0.43332342899292753,199
NR3C1,ETS1,Repression,-1.0,A,0.2192676547515251,0.4398430688753292,0.4171752397558917,0.942022667829126,2.9694713931406795,5.294164292595331,200
