dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
GSE126030_T_cells,blood,trrust,formal_abs,mutual_information,7,1292,1292,0.5,0.49152350976238623,0.4924877613578879,0.8923076923076924,0.007612430024892092,0.007421653717756271,0.0001907763071358204,-0.01695298047522742
GSE126030_T_cells,blood,trrust,formal_abs,coexpression_probability,7,1292,1292,0.5,0.5009486216679926,0.5023278383694811,1.0153846153846153,0.04229787178337574,0.04195744730532169,0.00034042447805404663,0.001897243335985177
GSE126030_T_cells,blood,trrust,formal_abs,codetection_odds_ratio,7,1292,1292,0.5,0.48678759021940204,0.4968206622269229,0.9384615384615385,1.4389618635177612,1.4551729559898376,-0.016211092472076416,-0.0264248195611958
GSE126030_T_cells,blood,trrust,formal_abs,pearson,8,1292,1292,0.5,0.5099855385367443,0.5252327666845731,1.1076923076923078,0.016371263191103935,0.016165537759661674,0.00020572543144226074,0.019971077073488663
GSE126030_T_cells,blood,trrust,formal_abs,spearman,8,1292,1292,0.5,0.5080241950943649,0.5130849479000146,1.0769230769230769,0.03200832009315491,0.03221995383501053,-0.00021163374185562134,0.016048390188729833
GSE126030_T_cells,blood,trrust,formal_abs,mutual_information,8,1292,1292,0.5,0.4912203821564474,0.494220122906038,0.9538461538461539,0.007612430024892092,0.0073487414047122,0.0002636886201798916,-0.017559235687105268
GSE126030_T_cells,blood,trrust,formal_abs,coexpression_probability,8,1292,1292,0.5,0.5026643478802635,0.5028253653690522,1.0153846153846153,0.04229787178337574,0.04087943211197853,0.0014184396713972092,0.005328695760526747
GSE126030_T_cells,blood,trrust,formal_abs,codetection_odds_ratio,8,1292,1292,0.5,0.4915927019333071,0.5008002115014768,0.9846153846153847,1.4389618635177612,1.462218165397644,-0.023256301879882812,-0.016814596133385762
GSE126030_T_cells,blood,trrust,formal_abs,pearson,9,1292,1292,0.5,0.503464401077361,0.5212518627406888,1.1384615384615384,0.016371263191103935,0.01674545742571354,-0.0003741942346096039,0.006928802154722025
GSE126030_T_cells,blood,trrust,formal_abs,spearman,9,1292,1292,0.5,0.4892910887672651,0.5057064278049865,1.0769230769230769,0.03200832009315491,0.03412245213985443,-0.002114132046699524,-0.02141782246546986
GSE126030_T_cells,blood,trrust,formal_abs,mutual_information,9,1292,1292,0.5,0.487449858141073,0.49123680131187675,0.8923076923076924,0.007612430024892092,0.007025863043963909,0.0005865669809281826,-0.02510028371785411
GSE126030_T_cells,blood,trrust,formal_abs,coexpression_probability,9,1292,1292,0.5,0.5005089069194567,0.5020449870804095,1.0153846153846153,0.04229787178337574,0.042156027629971504,0.00014184415340423584,0.0010178138389134173
GSE126030_T_cells,blood,trrust,formal_abs,codetection_odds_ratio,9,1292,1292,0.5,0.47901799835136927,0.49305096016990446,0.9538461538461539,1.4389618635177612,1.4765061140060425,-0.03754425048828125,-0.041964003297261576
GSE126030_T_cells,blood,dorothea_ab,formal_abs,pearson,0,2550,2550,0.5,0.5340540561322569,0.5409903639560574,1.2470588235294118,0.016082136891782284,0.0144240353256464,0.0016581015661358833,0.06810811226451374
GSE126030_T_cells,blood,dorothea_ab,formal_abs,spearman,0,2550,2550,0.5,0.520677201076509,0.5224009336687477,1.1607843137254903,0.03170469030737877,0.030584451742470264,0.0011202385649085045,0.04135440215301811
GSE126030_T_cells,blood,dorothea_ab,formal_abs,mutual_information,0,2550,2550,0.5,0.49086359092656673,0.4869663314949748,0.8862745098039215,0.00524874497205019,0.005708347540348768,-0.00045960256829857826,-0.018272818146866543
GSE126030_T_cells,blood,dorothea_ab,formal_abs,coexpression_probability,0,2550,2550,0.5,0.4997510957324106,0.5005038454798908,0.996078431372549,0.042751774191856384,0.04246808588504791,0.0002836883068084717,-0.0004978085351787787
GSE126030_T_cells,blood,dorothea_ab,formal_abs,codetection_odds_ratio,0,2550,2550,0.5,0.494480430603614,0.5039351869655908,1.0509803921568628,1.4327405095100403,1.4512042999267578,-0.01846379041671753,-0.011039138792771963
GSE126030_T_cells,blood,dorothea_ab,formal_abs,pearson,1,2550,2550,0.5,0.535881814686659,0.5472596344744303,1.2941176470588236,0.016082136891782284,0.014365178067237139,0.001716958824545145,0.07176362937331793
GSE126030_T_cells,blood,dorothea_ab,formal_abs,spearman,1,2550,2550,0.5,0.5269629373317954,0.5287916614563546,1.1529411764705881,0.03170469030737877,0.02986153494566679,0.001843155361711979,0.05392587466359089
GSE126030_T_cells,blood,dorothea_ab,formal_abs,mutual_information,1,2550,2550,0.5,0.49267958477508655,0.48892372720116184,0.8862745098039215,0.00524874497205019,0.005449957214295864,-0.00020121224224567413,-0.014640830449827003
GSE126030_T_cells,blood,dorothea_ab,formal_abs,coexpression_probability,1,2550,2550,0.5,0.5006020761245675,0.5008942567196982,1.003921568627451,0.042751774191856384,0.042553192004561424,0.00019858218729496002,0.0012041522491348378
GSE126030_T_cells,blood,dorothea_ab,formal_abs,codetection_odds_ratio,1,2550,2550,0.5,0.4984436755094194,0.5069811750927531,1.1215686274509804,1.4327405095100403,1.4391436576843262,-0.006403148174285889,-0.003112648981161037
GSE126030_T_cells,blood,dorothea_ab,formal_abs,pearson,2,2550,2550,0.5,0.5345410995770857,0.5414930388838861,1.2705882352941176,0.016082136891782284,0.014440017752349377,0.001642119139432907,0.06908219915417146
GSE126030_T_cells,blood,dorothea_ab,formal_abs,spearman,2,2550,2550,0.5,0.527115724721261,0.5240901992676006,1.1450980392156862,0.03170469030737877,0.029614497907459736,0.002090192399919033,0.054231449442522006
GSE126030_T_cells,blood,dorothea_ab,formal_abs,mutual_information,2,2550,2550,0.5,0.49057347174163785,0.4849834415929112,0.8470588235294118,0.00524874497205019,0.005506422370672226,-0.000257677398622036,-0.01885305651672431
GSE126030_T_cells,blood,dorothea_ab,formal_abs,coexpression_probability,2,2550,2550,0.5,0.4997158785082661,0.5000818240963267,0.9882352941176471,0.042751774191856384,0.04272340424358845,2.8369948267936707e-05,-0.0005682429834679148
GSE126030_T_cells,blood,dorothea_ab,formal_abs,codetection_odds_ratio,2,2550,2550,0.5,0.49483860053825457,0.5017067638103201,1.035294117647059,1.4327405095100403,1.447920799255371,-0.01518028974533081,-0.010322798923490972
GSE126030_T_cells,blood,dorothea_ab,formal_abs,pearson,3,2550,2550,0.5,0.5398861207227988,0.5456133908546151,1.223529411764706,0.016082136891782284,0.013952992390841246,0.002129144500941038,0.07977224144559791
GSE126030_T_cells,blood,dorothea_ab,formal_abs,spearman,3,2550,2550,0.5,0.5286251441753171,0.5263776743344195,1.1450980392156862,0.03170469030737877,0.029385249130427837,0.0023194411769509315,0.05725028835063428
GSE126030_T_cells,blood,dorothea_ab,formal_abs,mutual_information,3,2550,2550,0.5,0.4924955017301038,0.4872545162500981,0.8784313725490196,0.00524874497205019,0.005396903958171606,-0.0001481589861214161,-0.015008996539792374
GSE126030_T_cells,blood,dorothea_ab,formal_abs,coexpression_probability,3,2550,2550,0.5,0.5000826605151865,0.5005668087949979,0.996078431372549,0.042751774191856384,0.04246808588504791,0.0002836883068084717,0.00016532103037292245
GSE126030_T_cells,blood,dorothea_ab,formal_abs,codetection_odds_ratio,3,2550,2550,0.5,0.4973923106497501,0.5029102491182139,1.0745098039215686,1.4327405095100403,1.4421746134757996,-0.009434103965759277,-0.0052153787004998176
GSE126030_T_cells,blood,dorothea_ab,formal_abs,pearson,4,2550,2550,0.5,0.5316435217224145,0.5421081583975038,1.2705882352941176,0.016082136891782284,0.014605297707021236,0.0014768391847610474,0.06328704344482894
GSE126030_T_cells,blood,dorothea_ab,formal_abs,spearman,4,2550,2550,0.5,0.519511880046136,0.5231673234039932,1.1607843137254903,0.03170469030737877,0.030216646380722523,0.0014880439266562462,0.039023760092272264
GSE126030_T_cells,blood,dorothea_ab,formal_abs,mutual_information,4,2550,2550,0.5,0.48904359861591695,0.4863004566838643,0.8549019607843137,0.00524874497205019,0.0056755077093839645,-0.00042676273733377457,-0.021912802768166095
GSE126030_T_cells,blood,dorothea_ab,formal_abs,coexpression_probability,4,2550,2550,0.5,0.49935578623606314,0.5007286932605075,0.9882352941176471,0.042751774191856384,0.042354609817266464,0.00039716437458992004,-0.0012884275278739477
GSE126030_T_cells,blood,dorothea_ab,formal_abs,codetection_odds_ratio,4,2550,2550,0.5,0.4908680507497116,0.5009372530441907,1.0901960784313725,1.4327405095100403,1.443964660167694,-0.011224150657653809,-0.018263898500576747
GSE126030_T_cells,blood,dorothea_ab,formal_abs,pearson,5,2550,2550,0.5,0.5305563244905805,0.5439658387390254,1.3019607843137255,0.016082136891782284,0.014562376774847507,0.0015197601169347763,0.06111264898116109
GSE126030_T_cells,blood,dorothea_ab,formal_abs,spearman,5,2550,2550,0.5,0.5205700884275278,0.5243988435888638,1.1607843137254903,0.03170469030737877,0.03062035422772169,0.0010843360796570778,0.041140176855055666
GSE126030_T_cells,blood,dorothea_ab,formal_abs,mutual_information,5,2550,2550,0.5,0.48902022299115727,0.4848016010275247,0.8470588235294118,0.00524874497205019,0.0054638744331896305,-0.00021512946113944054,-0.021959554017685456
GSE126030_T_cells,blood,dorothea_ab,formal_abs,coexpression_probability,5,2550,2550,0.5,0.49882860438292964,0.50009011236488,0.996078431372549,0.042751774191856384,0.04312056675553322,-0.0003687925636768341,-0.0023427912341407175
GSE126030_T_cells,blood,dorothea_ab,formal_abs,codetection_odds_ratio,5,2550,2550,0.5,0.4895160322952711,0.5007590107635733,1.0431372549019609,1.4327405095100403,1.4468647837638855,-0.014124274253845215,-0.02096793540945785
GSE126030_T_cells,blood,dorothea_ab,formal_abs,pearson,6,2550,2550,0.5,0.5347883121876202,0.5476143239673079,1.3019607843137255,0.016082136891782284,0.01438593352213502,0.0016962033696472645,0.06957662437524026
GSE126030_T_cells,blood,dorothea_ab,formal_abs,spearman,6,2550,2550,0.5,0.5233508650519031,0.5269710409716966,1.184313725490196,0.03170469030737877,0.0302046500146389,0.0015000402927398682,0.04670173010380618
GSE126030_T_cells,blood,dorothea_ab,formal_abs,mutual_information,6,2550,2550,0.5,0.49093210303729334,0.4860928951357918,0.8470588235294118,0.00524874497205019,0.005549514200538397,-0.00030076922848820686,-0.018135793925413313
GSE126030_T_cells,blood,dorothea_ab,formal_abs,coexpression_probability,6,2550,2550,0.5,0.500039600153787,0.5006095265129781,0.996078431372549,0.042751774191856384,0.04229787178337574,0.0004539024084806442,7.92003075740233e-05
GSE126030_T_cells,blood,dorothea_ab,formal_abs,codetection_odds_ratio,6,2550,2550,0.5,0.4965727797001154,0.5070583292487412,1.0980392156862746,1.4327405095100403,1.4446263313293457,-0.01188582181930542,-0.0068544405997693625
GSE126030_T_cells,blood,dorothea_ab,formal_abs,pearson,7,2550,2550,0.5,0.5379627835447904,0.5460247325432546,1.2470588235294118,0.016082136891782284,0.013930252753198147,0.002151884138584137,0.07592556708958087
GSE126030_T_cells,blood,dorothea_ab,formal_abs,spearman,7,2550,2550,0.5,0.5275449442522107,0.5272233580665978,1.1529411764705881,0.03170469030737877,0.029708370566368103,0.001996319741010666,0.055089888504421314
GSE126030_T_cells,blood,dorothea_ab,formal_abs,mutual_information,7,2550,2550,0.5,0.49097908496732023,0.48653176281369853,0.8862745098039215,0.00524874497205019,0.0054821232333779335,-0.00023337826132774353,-0.018041830065359532
GSE126030_T_cells,blood,dorothea_ab,formal_abs,coexpression_probability,7,2550,2550,0.5,0.5002216839677047,0.5007582675019,1.0196078431372548,0.042751774191856384,0.042354609817266464,0.00039716437458992004,0.0004433679354094444
