tf,target,mode,source_db,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
NFKB1,PPIG,Unknown,TRRUST,,,0.1009257578507906,0.2956979488110315,0.11804789,0.37084836,0.3942788469207445,3.744053452042995,1605
NFKB1,PSMB9,Unknown,TRRUST,,,0.1009257578507906,0.4965813517275301,0.11804789,0.82540476,0.9553427608268099,6.451602976849556,1606
NFKB1,PTEN,Activation,TRRUST,,,0.1009257578507906,0.1135717311066757,0.11804789,0.12258577,0.08784562890454936,1.28931728648123,1607
NFKB1,PTGER4,Unknown,TRRUST,,,0.1009257578507906,0.1179887456888748,0.11804789,0.14612475,0.11690004822007677,1.3488507549483484,1608
NFKB1,PTPN6,Unknown,TRRUST,,,0.1009257578507906,0.2216373207478535,0.11804789,0.27857774,0.2803882159765113,2.7458484465120767,1609
NFKB1,S100A6,Activation,TRRUST,,,0.1009257578507906,0.8535124341987423,0.11804789,3.8940048,4.742949202304058,11.262396545173019,1610
NFKB1,SERPINB1,Activation,DoRothEA_AB,1.0,A,0.1009257578507906,0.224420645005129,0.11804789,0.2678096,0.26709698352683403,2.7833626869160057,1611
NFKB1,SOCS3,Activation,DoRothEA_AB,1.0,A,0.1009257578507906,0.3508198705149262,0.11804789,0.55423695,0.6206373803637116,4.486998517434193,1612
NFKB1,SOD2,Activation,DoRothEA_AB,1.0,A,0.1009257578507906,0.1158104919223108,0.11804789,0.1359588,0.10435210544427741,1.3194917841974398,1613
NFKB1,SQSTM1,Activation,DoRothEA_AB,0.5,B,0.1009257578507906,0.284201609487497,0.11804789,0.3697598,0.3929352254600818,3.5891033286353915,1614
NFKB1,STAT4,Unknown,TRRUST,,,0.1009257578507906,0.1003811944091496,0.11804789,0.10800379,0.06984693221630571,1.1115324080451772,1615
NFKB1,TAP1,Unknown,TRRUST,,,0.1009257578507906,0.3601984631209675,0.11804789,0.6138982,0.6942779108534995,4.613405197056186,1616
NFKB1,TAP2,Unknown,TRRUST,,,0.1009257578507906,0.1098808011133312,0.11804789,0.12567173,0.0916546629336766,1.2395701415977467,1617
NFKB1,TAPBP,Unknown,TRRUST,,,0.1009257578507906,0.4312337387305968,0.11804789,0.65103877,0.7401209208054048,5.57083385432212,1618
NFKB1,TBX21,Activation,DoRothEA_AB,1.0,A,0.1009257578507906,0.0528226538391713,0.11804789,0.061293088,0.012191404133498208,0.47052821331703903,1619
NFKB1,TGFB1,Unknown,TRRUST,,,0.1009257578507906,0.239910449567358,0.11804789,0.3166334,0.32736073147927064,2.992137590033525,1620
NFKB1,TIMP1,Repression,DoRothEA_AB,-1.0,A,0.1009257578507906,0.1207115628970797,0.11804789,0.16573028,0.14109936737167775,1.3855494683869827,1621
NFKB1,TNFAIP3,Activation,DoRothEA_AB,1.0,A,0.1009257578507906,0.0979609124463007,0.11804789,0.115627624,0.07925711353376186,1.0789113294330566,1622
NFKB1,TNFSF10,Activation,DoRothEA_AB,1.0,A,0.1009257578507906,0.0998971380165798,0.11804789,0.120589145,0.08538117292702337,1.1050081923227528,1623
NFKB1,TNFSF14,Unknown,TRRUST,,,0.1009257578507906,0.0634113874266338,0.11804789,0.086887375,0.04378271125810393,0.613245432245048,1624
NFKB1,TP53,Activation,DoRothEA_AB,1.0,A,0.1009257578507906,0.1242209717432105,0.11804789,0.14055775,0.11002863950442551,1.4328500323745565,1625
NFKB1,UPP1,Activation,TRRUST,,,0.1009257578507906,0.1460640164579163,0.11804789,0.16899851,0.14513337924643124,1.7272552668488717,1626
NFKB1,XIAP,Activation,DoRothEA_AB,1.0,A,0.1009257578507906,0.0588128516972214,0.11804789,0.06153503,0.012490035778456365,0.5512653828820253,1628
NFKB1,YY1,Repression,TRRUST,,,0.1009257578507906,0.2130453197797422,0.11804789,0.2520799,0.2476816435457707,2.630043617439079,1629
NFKB2,BCL2,Activation,DoRothEA_AB,1.0,A,0.2034852060264915,0.1349307194288143,0.25389338,0.15768246,0.13116585551789783,1.577198305233156,1630
NFKB2,BCL2L1,Activation,DoRothEA_AB,1.0,A,0.2034852060264915,0.0949355599927397,0.25389338,0.11435707,0.07768885489727803,1.0381349811679073,1631
NFKB2,BCL3,Activation,DoRothEA_AB,0.5,B,0.2034852060264915,0.0808374175591453,0.25389338,0.09009399,0.047740671067469494,0.8481171982523096,1632
NFKB2,CCND2,Activation,DoRothEA_AB,1.0,A,0.2034852060264915,0.202759121437637,0.25389338,0.30689156,0.31533627229434513,2.4914040333376013,1633
NFKB2,CD44,Activation,DoRothEA_AB,0.5,B,0.2034852060264915,0.5736068251952116,0.25389338,1.0101249,1.183344840933209,7.489768803680504,1634
NFKB2,CD58,Activation,DoRothEA_AB,0.5,B,0.2034852060264915,0.0527621467901,0.25389338,0.056210507,0.005917919064088548,0.46971268635173496,1635
NFKB2,CDK6,Activation,DoRothEA_AB,1.0,A,0.2034852060264915,0.0611121195619275,0.25389338,0.072728746,0.026306561318769836,0.5822554075635353,1636
NFKB2,HIF1A,Repression,TRRUST,,,0.2034852060264915,0.2056634597930549,0.25389338,0.2684732,0.2679160722323678,2.5305493276721354,1637
NFKB2,RARA,Activation,DoRothEA_AB,0.5,B,0.2034852060264915,0.0614751618563548,0.25389338,0.065165415,0.016971059512993762,0.587148569355353,1638
NFKB2,SND1,Activation,DoRothEA_AB,1.0,A,0.2034852060264915,0.0943909965510987,0.25389338,0.10334481,0.06409630247352772,1.03079523848018,1639
NFKB2,TNFAIP3,Activation,DoRothEA_AB,0.5,B,0.2034852060264915,0.0979609124463007,0.25389338,0.115627624,0.07925711353376186,1.0789113294330566,1640
NFKB2,TNIP1,Activation,DoRothEA_AB,0.5,B,0.2034852060264915,0.2270224481151909,0.25389338,0.2793648,0.2813596927043253,2.8184303464240266,1641
NFKBIA,CD58,Repression,TRRUST,,,0.4717129545592527,0.0527621467901,1.2340603,0.056210507,0.005917919064088548,0.46971268635173496,1643
NFKBIA,FAS,Repression,TRRUST,,,0.4717129545592527,0.1361408604102384,1.2340603,0.1684531,0.14446017374479603,1.5935088445392116,1644
NFKBIA,NFKB1,Activation,TRRUST,,,0.4717129545592527,0.1009257578507906,1.2340603,0.11804789,0.08224447421035508,1.1188721507329042,1645
NFKBIA,RELA,Activation,TRRUST,,,0.4717129545592527,0.1190173655230855,1.2340603,0.13057321,0.09770461306688845,1.3627147133584987,1646
NFKBIA,S100A6,Repression,TRRUST,,,0.4717129545592527,0.8535124341987423,1.2340603,3.8940048,4.742949202304058,11.262396545173019,1647
NFKBIA,TNFSF10,Repression,TRRUST,,,0.4717129545592527,0.0998971380165798,1.2340603,0.120589145,0.08538117292702337,1.1050081923227528,1648
NFRKB,JUN,Activation,TRRUST,,,0.0519150481031031,0.0778120651055843,0.05421378,0.09759687,0.05700155754573169,0.8073408499871605,1649
NFYB,CCND2,Activation,TRRUST,,,0.0753312760936642,0.202759121437637,0.08023146,0.30689156,0.31533627229434513,2.4914040333376013,1651
NFYB,CD74,Activation,DoRothEA_AB,0.5,B,0.0753312760936642,0.5118896351425524,0.08023146,1.0257558,1.2026382309984998,6.65793129907126,1652
NFYB,CDKN1B,Activation,TRRUST,,,0.0753312760936642,0.1297271132086905,0.08023146,0.14558037,0.11622811405865656,1.507062986217114,1653
NFYB,CREBRF,Activation,DoRothEA_AB,0.5,B,0.0753312760936642,0.0953591093362383,0.08023146,0.10376836,0.0646190948503041,1.0438436699250289,1654
NFYB,CRYZL1,Activation,DoRothEA_AB,0.5,B,0.0753312760936642,0.1008047437526481,0.08023146,0.10836681,0.07029501175500799,1.1172410968022974,1655
NFYB,FAS,Unknown,TRRUST,,,0.0753312760936642,0.1361408604102384,0.08023146,0.1684531,0.14446017374479603,1.5935088445392116,1656
NFYB,LPIN1,Unknown,TRRUST,,,0.0753312760936642,0.1032250257154969,0.08023146,0.11399391,0.07724060255505136,1.149862175414417,1657
NFYB,PCNA,Activation,DoRothEA_AB,0.5,B,0.0753312760936642,0.0808979246082165,0.08023146,0.09172769,0.04975716476582758,0.8489327252176124,1658
NFYC,CCND2,Activation,TRRUST,,,0.0718823742966047,0.202759121437637,0.07641956,0.30689156,0.31533627229434513,2.4914040333376013,1659
NFYC,CDKN1B,Activation,TRRUST,,,0.0718823742966047,0.1297271132086905,0.07641956,0.14558037,0.11622811405865656,1.507062986217114,1660
NFYC,FAS,Unknown,TRRUST,,,0.0718823742966047,0.1361408604102384,0.07641956,0.1684531,0.14446017374479603,1.5935088445392116,1661
NFYC,FDPS,Unknown,TRRUST,,,0.0718823742966047,0.184909541961631,0.07641956,0.21777,0.20533256039629633,2.2508235785732733,1662
