tf,target,mode,pmid,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
ELF2,VCP,Activation,18544453,0.0821685726387122,0.1961033460398043,0.08604003,0.23840299,0.23080008461327958,2.401696067154293,162
ELK1,CITED2,Unknown,16740701,0.0573001754704411,0.1376535366370186,0.061172,0.15955848,0.1334814474307299,1.6138970186717823,163
ELK1,DAP3,Unknown,19536094,0.0573001754704411,0.2051188963514141,0.061172,0.23900984,0.2315491261758973,2.523209584984411,164
ELK1,EIF2AK1,Activation,19133234,0.0573001754704411,0.0983239547407281,0.061172,0.10679367,0.06835326792405064,1.0838044912248754,165
ELK1,EZH2,Activation,22222375,0.0573001754704411,0.0557269921945895,0.061172,0.06401585,0.015552138916584982,0.5096735076515775,166
ELK1,MCL1,Unknown,9880563,0.0573001754704411,0.2454165910328378,0.061172,0.30060118,0.30757198776825245,3.0663505438760805,167
ELK1,ZFP36,Unknown,22433566,0.0573001754704411,0.3185696133599582,0.061172,0.43389544,0.47209854424576037,4.052322644927598,168
ELK4,MCL1,Unknown,21846680,0.0902160101651845,0.2454165910328378,0.096205086,0.30060118,0.30757198776825245,3.0663505438760805,169
ENO1,MYC,Repression,10681589;9119380,0.7668058328796633,0.285230229321708,3.0057914,0.60675657,0.6854629191836673,3.6029672870455456,170
EP300,CREBBP,Unknown,9651310,0.0646215284080582,0.0628668239849928,0.068009205,0.065891474,0.01786724204230525,0.6059056895573208,171
EP300,DNMT1,Activation,19275888,0.0646215284080582,0.1480002420281949,0.068009205,0.16905911,0.14520817848626755,1.7533521297385612,172
EP300,EIF2AK1,Activation,19133234,0.0646215284080582,0.0983239547407281,0.068009205,0.10679367,0.06835326792405064,1.0838044912248754,173
EP300,EZH2,Unknown,25088689,0.0646215284080582,0.0557269921945895,0.068009205,0.06401585,0.015552138916584982,0.5096735076515775,174
EP300,MGMT,Unknown,22675172,0.0646215284080582,0.1004417014582208,0.068009205,0.10667264,0.06820387927722914,1.11234793501048,175
EP300,MYC,Repression,19279113,0.0646215284080582,0.285230229321708,0.068009205,0.60675657,0.6854629191836673,3.6029672870455456,176
EP300,NFKB1,Unknown,9560267,0.0646215284080582,0.1009257578507906,0.068009205,0.11804789,0.08224447421035508,1.1188721507329042,177
EP300,PARP1,Unknown,17065349,0.0646215284080582,0.2079022206086896,0.068009205,0.24947752,0.24446949757604974,2.56072382538834,178
EP300,PCNA,Repression,10618724,0.0646215284080582,0.0808979246082165,0.068009205,0.09172769,0.04975716476582758,0.8489327252176124,179
EP300,RELA,Unknown,21146504,0.0646215284080582,0.1190173655230855,0.068009205,0.13057321,0.09770461306688845,1.3627147133584987,180
EP300,TRIM22,Activation,23670564,0.0646215284080582,0.1159315060204533,0.068009205,0.12930244,0.0961360878192527,1.3211228381280464,182
EP300,YY1,Unknown,11486036,0.0646215284080582,0.2130453197797422,0.068009205,0.2520799,0.2476816435457707,2.630043617439079,183
EP300,ZEB1,Unknown,16804902,0.0646215284080582,0.0646215284080582,0.068009205,0.06861427,0.021228018791962233,0.6295559715511077,184
ESRRA,AHR,Unknown,10620335,0.0776305439583706,0.0503418648272515,0.08561651,0.054092813,0.0033040263016164027,0.4370916077396197,185
ESRRA,DAP3,Unknown,19536094,0.0776305439583706,0.2051188963514141,0.08561651,0.23900984,0.2315491261758973,2.523209584984411,186
ESRRA,PNRC1,Unknown,10894149,0.0776305439583706,0.5099534095722729,0.08561651,0.81003445,0.936371019835924,6.631834436181558,187
ETS1,ATXN2,Unknown,22914732,0.2819023416227901,0.0718823742966047,0.35590377,0.07714564,0.03175838167582172,0.7274192073874673,188
ETS1,BAX,Repression,17213822,0.2819023416227901,0.3966842137109219,0.35590377,0.62054837,0.7024862880941252,5.105167957134004,189
ETS1,CASP1,Activation,16103071,0.2819023416227901,0.0819870514914985,0.35590377,0.088641815,0.045948235653125884,0.8636122105930667,190
ETS1,CD6,Unknown,19446338,0.2819023416227901,0.2909783989834753,0.35590377,0.38924196,0.41698226767738245,3.680442348749348,191
ETS1,CD8A,Activation,8413295,0.2819023416227901,0.0560900344890168,0.35590377,0.08749249,0.044529611291330325,0.5145666694433951,192
ETS1,CSNK2A1,Unknown,19027835,0.2819023416227901,0.0935438978641016,0.35590377,0.10352637,0.06432040395842331,1.0193778609659379,193
ETS1,CSNK2B,Unknown,11389726,0.2819023416227901,0.3277666848187858,0.35590377,0.43420044,0.4724750090667184,4.1762827436536805,194
ETS1,CTSB,Unknown,10701774,0.2819023416227901,0.1236159012524983,0.35590377,0.13759273,0.10636888303413983,1.4246947627215265,195
ETS1,CXCR4,Unknown,21741415,0.2819023416227901,0.5044472681067905,0.35590377,0.9950035,1.1646803322655517,6.557621482338969,196
ETS1,FLI1,Activation,19829305,0.2819023416227901,0.0678284020088329,0.35590377,0.07127652,0.024514062954570915,0.6727789007121665,197
ETS1,IL2RB,Activation,8413220,0.2819023416227901,0.1126641253706074,0.35590377,0.13650344,0.1050243605265286,1.277084382001685,198
ETS1,LCK,Activation,7970721,0.2819023416227901,0.4855085617474942,0.35590377,0.77657735,0.8950745570120664,6.3023615421990735,199
ETS1,PARP1,Activation,11973649;24448423,0.2819023416227901,0.2079022206086896,0.35590377,0.24947752,0.24446949757604974,2.56072382538834,200
ETS1,SQSTM1,Unknown,9762895,0.2819023416227901,0.284201609487497,0.35590377,0.3697598,0.3929352254600818,3.5891033286353915,201
ETS1,TAF12,Unknown,18567809,0.2819023416227901,0.1138742663520318,0.35590377,0.123856395,0.08941397517710628,1.2933949213077447,202
ETS1,TGFBR2,Activation,14976186,0.2819023416227901,0.0818660373933561,0.35590377,0.08821829,0.04542547413412172,0.8619811566624612,203
ETS1,TNFSF14,Activation,12215452,0.2819023416227901,0.0634113874266338,0.35590377,0.086887375,0.04378271125810393,0.613245432245048,204
ETS1,TP53,Unknown,10510472,0.2819023416227901,0.1242209717432105,0.35590377,0.14055775,0.11002863950442551,1.4328500323745565,205
ETS1,WAS,Unknown,10066431,0.2819023416227901,0.1630059901978542,0.35590377,0.18454987,0.1643285922236597,1.9556028171336577,206
ETS2,FLI1,Activation,19829305,0.0502208507291091,0.0678284020088329,0.053790268,0.07127652,0.024514062954570915,0.6727789007121665,207
ETS2,LCK,Activation,7970721,0.0502208507291091,0.4855085617474942,0.053790268,0.77657735,0.8950745570120664,6.3023615421990735,208
ETS2,MYC,Unknown,22108824,0.0502208507291091,0.285230229321708,0.053790268,0.60675657,0.6854629191836673,3.6029672870455456,209
ETS2,PDE7A,Unknown,12737631,0.0502208507291091,0.0756943183880916,0.053790268,0.08065498,0.03608999824887429,0.7787974062015559,210
ETS2,TP53,Unknown,10510472,0.0502208507291091,0.1242209717432105,0.053790268,0.14055775,0.11002863950442551,1.4328500323745565,211
ETV6,BBC3,Activation,16828711,0.1393477340110124,0.1031040116173545,0.17026885,0.1201656,0.08485838672180143,1.1482311214838115,212
