tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
IRF1,ETV6,Activation,0.5,B,0.509377344336112,0.1080270067516859,1.0218875,0.1198804,0.06837065389482888,1.2105333754600733,1301
IRF1,PLAAT4,Activation,0.5,B,0.509377344336112,0.5008252063016022,1.0218875,0.83328676,0.836914864301723,6.478206492190405,1302
IRF2,ADAR,Activation,0.5,B,0.1618904726181501,0.2600150037509308,0.18199685,0.32287845,0.28705804553987846,3.248788863331449,1303
IRF2,APOL3,Activation,0.5,B,0.1618904726181501,0.1516879219804912,0.18199685,0.17119396,0.12365014348806266,1.7960539548979444,1304
IRF2,NMI,Activation,0.5,B,0.1618904726181501,0.168492123030753,0.18199685,0.19760083,0.15209795134537907,2.021408954544135,1305
IRF2,NR3C1,Activation,0.5,B,0.1618904726181501,0.1740435108777145,0.18199685,0.21005414,0.16551375450825287,2.095856588355823,1306
IRF1,ZNFX1,Activation,0.5,B,0.509377344336112,0.0823705926481612,1.0218875,0.08972255,0.03588195977130081,0.8664645813574073,1307
TP53,CAMK4,Activation,0.5,B,0.088522130532632,0.1962490622655605,0.09647435,0.23090972,0.18798122348859364,2.3936471236025754,1308
TFDP1,HNRNPUL1,Activation,0.5,B,0.0903225806451601,0.1615903975993955,0.11012769,0.18064654,0.13383329581152667,1.928852436832307,1309
TFDP1,PTMA,Activation,0.5,B,0.0903225806451601,0.9942985746437568,0.11012769,10.709501,11.476443330084008,13.095997508587356,1310
THAP11,CNIH4,Activation,0.5,B,0.1603900975243768,0.1153788447111755,0.17614536,0.12813254,0.07726058644388428,1.3091261878052824,1311
THAP11,LSM10,Activation,0.5,B,0.1603900975243768,0.2103525881470302,0.17614536,0.25581568,0.214812118804169,2.5827843554484855,1312
THAP11,PRPF31,Activation,0.5,B,0.1603900975243768,0.1317329332333053,0.17614536,0.1482379,0.09891985231606738,1.5284448928180927,1313
THAP11,SNX17,Activation,0.5,B,0.1603900975243768,0.1978994748687112,0.17614536,0.22670858,0.18345538519341945,2.415780203924969,1314
TP53,KMT5B,Activation,0.5,B,0.088522130532632,0.0561140285071268,0.09647435,0.058514446,0.002261839469911522,0.51434739441023,1315
TP53,MACF1,Activation,0.5,B,0.088522130532632,0.1278319579894945,0.09647435,0.14088601,0.09099974841476723,1.4761303393287986,1316
