dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
GSE126030_T_cells,lymph_node,trrust,9,1071,1071,0,0,0.0,0,0,0.00878888878431565,-0.0005480565133598977
GSE126030_T_cells,lymph_node,dorothea_ab,0,2029,2029,0,0,0.0,0,0,0.004008083997328848,0.00015064773946699622
GSE126030_T_cells,lymph_node,dorothea_ab,1,2029,2029,0,0,0.0,0,0,0.0036026551185376716,0.0003207621476449029
GSE126030_T_cells,lymph_node,dorothea_ab,2,2029,2029,0,0,0.0,0,0,0.0028818559598809954,0.00011258382695006309
GSE126030_T_cells,lymph_node,dorothea_ab,3,2029,2029,0,0,0.0,0,0,0.003987343905973614,-4.000596105191657e-05
GSE126030_T_cells,lymph_node,dorothea_ab,4,2029,2029,0,0,0.0,0,0,0.0038230677141624252,-0.0001037174441879806
GSE126030_T_cells,lymph_node,dorothea_ab,5,2029,2029,0,0,0.0,0,0,0.003881996240134182,8.33750721667909e-05
GSE126030_T_cells,lymph_node,dorothea_ab,6,2029,2029,0,0,0.0,0,0,0.0037310889313506364,-2.6553566050366134e-05
GSE126030_T_cells,lymph_node,dorothea_ab,7,2029,2029,0,0,0.0,0,0,0.003400144264554038,-0.0002040767725310702
GSE126030_T_cells,lymph_node,dorothea_ab,8,2029,2029,0,0,0.0,0,0,0.003953769491959318,5.895887703772321e-05
GSE126030_T_cells,lymph_node,dorothea_ab,9,2029,2029,0,0,0.0,0,0,0.003714413645341565,0.00014182585252757354
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,441,441,0,0,0.0,0,0,0.014479291603577664,0.00045261401933888715
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,441,441,0,0,0.0,0,0,0.014590696000764741,8.708164811398243e-05
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,441,441,0,0,0.0,0,0,0.011029233188675599,0.0003318031707037001
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,3,441,441,0,0,0.0,0,0,0.01215063201345496,0.0004414384783126941
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,4,441,441,0,0,0.0,0,0,0.016235675314229373,0.00016309998676911408
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,5,441,441,0,0,0.0,0,0,0.01896902786786028,-0.00029895787334721993
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,6,441,441,0,0,0.0,0,0,0.01346519534753901,0.000529542289570236
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,7,441,441,0,0,0.0,0,0,0.014743325678752944,-0.0003055008714895082
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,8,441,441,0,0,0.0,0,0,0.013793408164583762,-6.144329084925543e-05
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,9,441,441,0,0,0.0,0,0,0.01268866554078844,-0.0009999901529472725
GSE126030_T_cells,lymph_node,trrust_dorothea_union,0,2659,2659,0,0,0.0,0,0,0.00387837826970558,0.00010226729438633965
GSE126030_T_cells,lymph_node,trrust_dorothea_union,1,2659,2659,0,0,0.0,0,0,0.004287956839547481,-5.4152857322691726e-05
GSE126030_T_cells,lymph_node,trrust_dorothea_union,2,2659,2659,0,0,0.0,0,0,0.004303698333668264,-0.0001480627307046186
GSE126030_T_cells,lymph_node,trrust_dorothea_union,3,2659,2659,0,0,0.0,0,0,0.00447285717136098,-0.00038105294561162063
GSE126030_T_cells,lymph_node,trrust_dorothea_union,4,2659,2659,0,0,0.0,0,0,0.003934492039606003,-9.185016971334105e-06
GSE126030_T_cells,lymph_node,trrust_dorothea_union,5,2659,2659,0,0,0.0,0,0,0.0036319268183681794,-0.00016370534039288328
GSE126030_T_cells,lymph_node,trrust_dorothea_union,6,2659,2659,0,0,0.0,0,0,0.0036434062297221637,-0.00017124893915844262
GSE126030_T_cells,lymph_node,trrust_dorothea_union,7,2659,2659,0,0,0.0,0,0,0.004062897714805155,-1.6208260125480548e-05
GSE126030_T_cells,lymph_node,trrust_dorothea_union,8,2659,2659,0,0,0.0,0,0,0.004168100056539603,3.999014558289074e-05
GSE126030_T_cells,lymph_node,trrust_dorothea_union,9,2659,2659,0,0,0.0,0,0,0.004128752891143766,-0.00017557758431412118
GSE126030_T_cells,bone_marrow,trrust,0,1209,1209,0,0,0.0,0,0,0.005343562557875164,-0.0023779671176673966
GSE126030_T_cells,bone_marrow,trrust,1,1209,1209,0,0,0.0,0,0,0.006224425713654237,-0.0018020615941677694
GSE126030_T_cells,bone_marrow,trrust,2,1209,1209,0,0,0.0,0,0,0.005591556376882865,-0.001508310716249723
GSE126030_T_cells,bone_marrow,trrust,3,1209,1209,0,0,0.0,0,0,0.006527434714981229,-0.0016044765182204612
GSE126030_T_cells,bone_marrow,trrust,4,1209,1209,0,0,0.0,0,0,0.006565885873374109,-0.0014168843691052912
GSE126030_T_cells,bone_marrow,trrust,5,1209,1209,0,0,0.0,0,0,0.006255486251664351,-0.00196301495510014
GSE126030_T_cells,bone_marrow,trrust,6,1209,1209,0,0,0.0,0,0,0.006162975892994164,-0.0012987819531658246
GSE126030_T_cells,bone_marrow,trrust,7,1209,1209,0,0,0.0,0,0,0.006830274699288597,-0.0014767112366394146
GSE126030_T_cells,bone_marrow,trrust,8,1209,1209,0,0,0.0,0,0,0.006251837481430931,-0.0013074574646496694
GSE126030_T_cells,bone_marrow,trrust,9,1209,1209,0,0,0.0,0,0,0.005953450088481711,-0.0014993142740429015
GSE126030_T_cells,bone_marrow,dorothea_ab,0,2223,2223,0,0,0.0,0,0,0.001995347988888611,-0.000918319587259135
GSE126030_T_cells,bone_marrow,dorothea_ab,1,2223,2223,0,0,0.0,0,0,0.002272679156876507,-0.0010256045442118215
GSE126030_T_cells,bone_marrow,dorothea_ab,2,2223,2223,0,0,0.0,0,0,0.0020915145387990874,-0.0008254632160584387
GSE126030_T_cells,bone_marrow,dorothea_ab,3,2223,2223,0,0,0.0,0,0,0.0022849664698272364,-0.001031448951129316
GSE126030_T_cells,bone_marrow,dorothea_ab,4,2223,2223,0,0,0.0,0,0,0.0023304176480910873,-0.0007642515720216595
GSE126030_T_cells,bone_marrow,dorothea_ab,5,2223,2223,0,0,0.0,0,0,0.002006730223371814,-0.0010625069186127596
GSE126030_T_cells,bone_marrow,dorothea_ab,6,2223,2223,0,0,0.0,0,0,0.0020654844633376567,-0.0013652346214420754
GSE126030_T_cells,bone_marrow,dorothea_ab,7,2223,2223,0,0,0.0,0,0,0.002348730660704703,-0.001032633485034663
GSE126030_T_cells,bone_marrow,dorothea_ab,8,2223,2223,0,0,0.0,0,0,0.002115892771602299,-0.0009910451968811191
GSE126030_T_cells,bone_marrow,dorothea_ab,9,2223,2223,0,0,0.0,0,0,0.0017018668517069825,-0.0013042726785801697
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,543,543,0,0,0.0,0,0,0.009019968495336032,-0.0023480395535303037
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,543,543,0,0,0.0,0,0,0.00709585008754091,-0.0019210306274800276
