tf,target,mode,pearson,spearman,mutual_information,coexpression_probability,codetection_odds_ratio
GATA3,SLTM,Unknown,0.007581309415400028,0.025374174118041992,0.008295638,0.0365462563931942,1.2949272394180298
ETS1,RER1,Unknown,0.01989264413714409,0.03414628654718399,0.016123423,0.06819144636392593,1.3961645364761353
TCF7,GBP1,Unknown,-0.0830320417881012,-0.07618653774261475,0.011829212,0.05602952837944031,0.7339441180229187
E2F4,TMEM126B,Unknown,0.04464179277420044,0.07109888643026352,0.017233474,0.050523385405540466,1.7676926851272583
E2F4,IER3IP1,Unknown,0.0634278953075409,0.09614134579896927,0.023111956,0.05451685190200806,2.051159620285034
STAT1,BBX,Unknown,0.0020936501678079367,0.012109667994081974,0.009568654,0.07490772753953934,1.1773120164871216
E2F4,SDF4,Unknown,0.046801578253507614,0.0797467976808548,0.017743925,0.051491498947143555,1.8764063119888306
STAT1,OTUB1,Unknown,0.014487343840301037,0.03126659616827965,0.014800165,0.08017183840274811,1.3996763229370117
ZEB1,MRPS16,Unknown,0.003733942285180092,0.025272274389863014,0.0011721276,0.01573183201253414,1.3473933935165405
HIF1A,NELFE,Unknown,0.04996524378657341,0.07739503681659698,0.016216146,0.05554547160863876,1.8056190013885498
STAT1,SH2D1A,Unknown,0.024953292682766914,0.04035608097910881,0.011764342,0.07853814959526062,1.400041937828064
E2F4,RPS3P4,Unknown,-0.015812519937753677,0.007711002137511969,0.013729094,0.03763538599014282,1.1942256689071655
TP53,PPP1R15A,Unknown,0.0003330738400109112,0.012561065144836903,0.0012905068,0.026381073519587517,1.201137661933899
RFX5,PHF11,Unknown,0.020551569759845734,0.023425057530403137,0.0005782147,0.011617353186011314,1.337374210357666
YY1,TRIM56,Unknown,0.012846799567341805,0.0196416936814785,0.014820146,0.04429116100072861,1.2150341272354126
JUN,ATM,Unknown,0.018073849380016327,0.024113405495882034,0.0011054378,0.01791008561849594,1.341583251953125
FOXO1,PRKAR1A,Unknown,0.019155042245984077,0.028527887538075447,0.00084669463,0.012040902860462666,1.4155009984970093
IRF2,PHF20L1,Unknown,0.002435420174151659,0.015761723741889,0.00560726,0.030737580731511116,1.2102298736572266
STAT1,ELOF1,Unknown,0.010469118133187294,0.02473907731473446,0.011567762,0.07303200662136078,1.3182251453399658
YY1,CCSER2,Unknown,0.018235022202134132,0.028701528906822205,0.014402935,0.04538028687238693,1.316853404045105
STAT2,FAM118A,Unknown,-0.006866483483463526,-0.008783048950135708,8.048414e-05,0.0095601137727499,0.9273982644081116
ETS1,USE1,Unknown,0.002163697499781847,0.01117721013724804,0.011733484,0.05506141483783722,1.1836349964141846
CTCF,ELOF1,Unknown,0.017684664577245712,0.040781863033771515,0.002150459,0.021540509536862373,1.5185799598693848
STAT3,SRP72,Unknown,0.015370403416454792,0.03695903718471527,0.017298643,0.0593574158847332,1.446082592010498
MYC,HPCAL1,Unknown,0.029109423980116844,0.055284321308135986,0.014865974,0.06298784166574478,1.529457688331604
ETS1,HM13,Unknown,0.010305186733603477,0.02649935521185398,0.017901916,0.0580262616276741,1.367728590965271
CTCF,BLOC1S2,Unknown,0.006222432013601065,0.027490174397826195,0.0022946647,0.01978580467402935,1.400498867034912
CREB1,HNRNPAB,Unknown,0.005674048792570829,0.029476270079612732,0.0011881149,0.02383977733552456,1.3748306035995483
ETS1,DDX3X,Unknown,0.010244295001029968,0.022061949595808983,0.013017333,0.05481938645243645,1.2779500484466553
IRF1,RBPJ,Unknown,0.007040591910481453,0.011108491569757462,0.011501063,0.0935438945889473,1.3051129579544067
STAT1,DENR,Unknown,0.03620384261012077,0.0518089234828949,0.013566057,0.07327403873205185,1.591215968132019
MYC,LPXN,Unknown,0.0028562864754348993,0.03180915117263794,0.01578538,0.056150540709495544,1.3947242498397827
CTCF,TCEAL8,Unknown,0.025274373590946198,0.03594619035720825,0.0013060963,0.018757184967398643,1.4387882947921753
CTCF,ITSN2,Unknown,0.015602966770529747,0.02382759563624859,0.00080614607,0.017123494297266006,1.2887811660766602
E2F4,NEMF,Unknown,-0.0011496874503791332,0.02178640477359295,0.014122816,0.033823441714048386,1.307719111442566
RUNX1,ECHS1,Unknown,-0.015699222683906555,0.004003249574452639,0.0016064871,0.012645972892642021,1.155551552772522
ETS1,KLF13,Unknown,0.013624117709696293,0.028541795909404755,0.0112313,0.0513099767267704,1.3366798162460327
YY1,MRPL43,Unknown,0.016073698177933693,0.02883566915988922,0.009242835,0.040055666118860245,1.326894998550415
E2F4,RALA,Unknown,0.03061106987297535,0.060231126844882965,0.016342772,0.038785018026828766,1.696059226989746
ELK1,FERMT3,Unknown,0.01958097331225872,0.039948903024196625,0.0029270207,0.01300901547074318,1.6992346048355103
STAT1,GTPBP4,Unknown,0.044326167553663254,0.0683656856417656,0.014290421,0.07091426104307175,1.8295811414718628
CTCF,ARF4,Unknown,0.004767803009599447,0.025319015607237816,0.0013499673,0.017123494297266006,1.3710286617279053
E2F4,MARCKSL1,Unknown,0.003558226628229022,0.03329583629965782,0.013752182,0.034186482429504395,1.4260034561157227
STAT1,LNPEP,Unknown,0.0015159943141043186,0.005330413579940796,0.0044581643,0.054214317351579666,1.0495716333389282
ETS1,TVP23B,Unknown,0.002963600680232048,0.01749548688530922,0.013578501,0.048647668212652206,1.2945969104766846
TP53,MAP2K3,Unknown,0.007638857234269381,0.03459307551383972,0.002735861,0.02408180572092533,1.4812133312225342
MYC,SP110,Unknown,-0.02352946065366268,-0.005735788960009813,0.007718449,0.04302051290869713,1.0642669200897217
MYC,NUDT4,Unknown,0.04938380420207977,0.07199671119451523,0.011258775,0.054879892617464066,1.650827407836914
STAT1,RNMT,Unknown,0.023951800540089607,0.04383671283721924,0.010531491,0.06316936016082764,1.5172436237335205
RUNX1,FKBP3,Unknown,0.012521674856543541,0.026107296347618103,0.0011604347,0.013311550952494144,1.3603256940841675
RUNX1,CISD1,Unknown,0.0005480061518028378,0.023068802431225777,0.0008445923,0.013130029663443565,1.3463753461837769
MYC,BABAM1,Unknown,0.010229283012449741,0.03574511408805847,0.009518408,0.04937375336885452,1.3863803148269653
YY1,RNF187,Unknown,0.013510014861822128,0.03133473917841911,0.008090847,0.037574876099824905,1.3815206289291382
E2F4,BABAM1,Unknown,0.011509553529322147,0.04196971282362938,0.009606815,0.033823441714048386,1.505300760269165
MYC,CMSS1,Unknown,0.11387967318296432,0.13514444231987,0.015425662,0.06329037249088287,2.33028507232666
GATA3,SIT1,Unknown,0.02886979840695858,0.04787876084446907,0.007220527,0.027893749997019768,1.5190101861953735
ZEB1,RBBP6,Unknown,0.011383198201656342,0.0230990219861269,0.00087296864,0.011496338993310928,1.351552128791809
STAT1,SMIM19,Unknown,-0.0007101004011929035,0.01580449938774109,0.0069984547,0.05481938645243645,1.2704976797103882
STAT1,RESF1,Unknown,-0.03395437076687813,-0.02243850938975811,0.005859216,0.04689296334981918,0.9565454721450806
IRF1,CD55,Unknown,-0.032824449241161346,-0.03178960829973221,0.006434059,0.06794941425323486,0.986043393611908
RUNX1,MYG1,Unknown,-0.0056366813369095325,0.015068402513861656,0.00070632715,0.011677860282361507,1.257774829864502
RELB,HIGD1A,Unknown,0.07940629124641418,0.10739174485206604,0.017975895,0.054577358067035675,2.23030686378479
E2F4,RPL8P4,Unknown,-0.0009547913214191794,0.02117137238383293,0.00640054,0.028680341318249702,1.301705002784729
TCF7,SEMA4D,Unknown,0.007521193940192461,0.016199693083763123,0.0045529488,0.04985781013965607,1.2173529863357544
YY1,VPS4A,Unknown,0.02064754255115986,0.03610425442457199,0.0059438767,0.035699158906936646,1.4284493923187256
ETS1,STAU1,Unknown,0.0019285435555502772,0.0164533331990242,0.006037079,0.04144733026623726,1.2645913362503052
STAT1,MKKS,Unknown,0.03283632546663284,0.04795268177986145,0.007091705,0.05711865425109863,1.5515918731689453
TP53,ATG3,Unknown,-0.002999776042997837,0.023566244170069695,0.0011723614,0.019967326894402504,1.3533210754394531
ETS1,CDC25B,Unknown,-0.002130733337253332,0.0033273035660386086,0.0026185978,0.03836146742105484,1.1303616762161255
FOXP1,CTDSP1,Unknown,-0.006509896367788315,-0.00824571680277586,0.005116599,0.05996248498558998,1.1014043092727661
MAZ,PRKCQ,Unknown,0.0018095592968165874,0.012550873681902885,0.003786734,0.019422762095928192,1.1708528995513916
KMT2A,PRKCQ,Unknown,0.004877780564129353,0.01739499531686306,0.003107266,0.023597748950123787,1.2133811712265015
STAT2,EI24,Unknown,-0.013331038877367973,-0.0006244692485779524,9.0945505e-05,0.007442367263138294,1.0498443841934204
MYC,PPP4R2,Unknown,0.05375104397535324,0.0773979052901268,0.0046406193,0.04737702012062073,1.7489007711410522
HIF1A,ETF1,Unknown,0.0687187910079956,0.10240190476179123,0.010703218,0.04168935865163803,2.246382236480713
CTCF,CHMP2B,Unknown,-0.008301399648189545,0.010050223208963871,0.00016404124,0.012464452534914017,1.208828091621399
GATA3,SEC22B,Unknown,0.009746677242219448,0.02539394237101078,0.0017410882,0.021782537922263145,1.3253159523010254
STAT1,NTMT1,Unknown,0.008956274017691612,0.024466419592499733,0.0048763407,0.049313243478536606,1.416952133178711
MYC,VPS4B,Unknown,-0.0017081452533602715,0.019910862669348717,0.0014489464,0.0389060340821743,1.250627040863037
E2F4,ZNF638,Unknown,-0.012442430481314659,0.005421844311058521,0.00058683223,0.02250862307846546,1.112942099571228
E2F4,C1ORF122,Unknown,0.05175582692027092,0.08533957600593567,0.0065823626,0.03327887877821922,2.028371572494507
CTCF,UQCC5,Unknown,0.01387250516563654,0.03241030499339104,0.0007139877,0.014279663562774658,1.463392972946167
E2F4,CPSF6,Unknown,0.024350767955183983,0.05397903919219971,0.003550478,0.028861861675977707,1.6473369598388672
CTCF,CTSA,Unknown,0.021497434005141258,0.03746554255485535,0.0009110102,0.014461184851825237,1.5377691984176636
TP53,IFRD1,Unknown,0.018799958750605583,0.03822469338774681,0.0011878936,0.019422762095928192,1.5401772260665894
CTCF,PBDC1,Unknown,-0.003313046181574464,0.012370503507554531,0.0001168475,0.0117383673787117,1.1782946586608887
CTCF,CPSF6,Unknown,-0.0027952881064265966,0.023254703730344772,0.0004283766,0.01300901547074318,1.3557268381118774
STAT3,FASTK,Unknown,0.0017531940247863531,0.018974056467413902,0.0035366726,0.03612270951271057,1.3127657175064087
MYC,COX11,Unknown,0.024632630869746208,0.0462803915143013,0.0016796085,0.039692625403404236,1.4488805532455444
JUN,NOL11,Unknown,-0.001606878126040101,0.010281930677592754,9.079314e-05,0.009862649254500866,1.1696983575820923
FOXO1,IL2RB,Unknown,0.018284276127815247,0.03422222286462784,0.00070038106,0.008410479873418808,1.630761981010437
STAT1,RARS1,Unknown,0.006376784294843674,0.02367956005036831,0.0044046906,0.04580383747816086,1.3955755233764648
E2F4,RNF115,Unknown,0.020230459049344063,0.04541124030947685,0.002782658,0.02632056549191475,1.5483628511428833
YY1,LONP2,Unknown,0.01452056597918272,0.02395899035036564,0.0013334493,0.027893749997019768,1.2855724096298218
ETS1,TGS1,Unknown,0.004189965780824423,0.016715409234166145,0.004285489,0.0352151021361351,1.3069689273834229
STAT1,YEATS4,Unknown,-0.01656952314078808,-0.0027815692592412233,0.0028684635,0.04120530188083649,1.14898681640625
TP53,DIAPH1,Unknown,-0.005314529407769442,0.00616819504648447,7.724997e-05,0.014461184851825237,1.1287060976028442
E2F4,U2AF2,Unknown,0.04005887359380722,0.07379136979579926,0.0053158356,0.029466932639479637,1.9214465618133545
E2F4,DCP1A,Unknown,0.03858492523431778,0.06795475631952286,0.0045244875,0.028256792575120926,1.823115587234497
RUNX1,DHCR7-DT,Unknown,0.0027514041867107153,0.012109567411243916,0.00014523852,0.009076057001948357,1.229643702507019
STAT1,TMC6,Unknown,-0.0578935332596302,-0.0470459908246994,0.0024614162,0.0321897491812706,0.8170974850654602
STAT2,ARIH2,Unknown,0.011098865419626236,0.02182377502322197,0.00022281727,0.0075028738938272,1.3266456127166748
NFKB1,DCP1A,Unknown,0.02788102813065052,0.05839119479060173,0.0020915305,0.016881465911865234,1.8667219877243042
ETS1,MIF4GD,Unknown,0.007064513862133026,0.01854962296783924,0.002186763,0.03309735655784607,1.2683132886886597
YY1,CCNQ,Unknown,0.02387288026511669,0.04282146692276001,0.0028935971,0.02934591844677925,1.5165841579437256
STAT1,C19ORF48P,Unknown,0.026203377172350883,0.04236019030213356,0.0073765563,0.04677194729447365,1.6415091753005981
ETS1,C19ORF48P,Unknown,-0.004773681052029133,0.010713199153542519,0.005678415,0.03303685039281845,1.2731714248657227
STAT1,STX8,Unknown,-0.017202122136950493,-0.0057978336699306965,0.0020675736,0.037877414375543594,1.0968046188354492
