tf,target,mode,source_db,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
STAT5B,PIM1,Activation,DoRothEA_AB,1.0,A,0.1249361702127731,0.6251347517729938,0.13957381,1.2560742,0.9079915415460145,6.769011940495824,2902
STAT5B,PRF1,Activation,DoRothEA_AB,1.0,A,0.1249361702127731,0.1868368794326387,0.13957381,0.44273052,0.2787315049101625,1.8359548585697738,2903
STAT5B,RARA,Activation,DoRothEA_AB,0.5,B,0.1249361702127731,0.0785248226950371,0.13957381,0.086807445,0.0033643105476944862,0.6168990696507488,2904
STAT5B,WIPF1,Activation,DoRothEA_AB,0.5,B,0.1249361702127731,0.4642836879433099,0.13957381,0.71237993,0.48735130707723145,4.958627885187912,2905
STAT6,BCL2L1,Activation,DoRothEA_AB,1.0,A,0.1723120567376015,0.1603404255319263,0.2058475,0.21736424,0.10437225543608333,1.537736391610536,2906
STAT6,CISH,Activation,DoRothEA_AB,1.0,A,0.1723120567376015,0.5278865248227228,0.2058475,0.99125993,0.7031125447092819,5.67447992257798,2907
STAT6,CYSLTR1,Unknown,TRRUST,,,0.1723120567376015,0.0938439716312092,0.2058475,0.11920431,0.028428810288796232,0.7893165987278246,2908
STAT6,IRF1,Activation,DoRothEA_AB,1.0,A,0.1723120567376015,0.688113475177195,0.2058475,1.7007551,1.2520280494896965,7.477839560034218,2909
STAT6,IRF4,Unknown,TRRUST,,,0.1723120567376015,0.2277446808510832,0.2058475,0.4592459,0.29150896772127705,2.2963735195496664,2910
STAT6,ORMDL3,Unknown,TRRUST,,,0.1723120567376015,0.1739574468085236,0.2058475,0.20902525,0.09792062461637131,1.6909964174568244,2911
STAT6,RHOA,Activation,DoRothEA_AB,1.0,A,0.1723120567376015,0.5723687943262307,0.2058475,1.103601,0.7900275199678477,6.175129340342035,2912
STAT6,SOCS1,Activation,DoRothEA_AB,1.0,A,0.1723120567376015,0.5075177304964992,0.2058475,1.407889,1.0254461784466964,5.445228467249797,2913
STAT6,STAT1,Repression,TRRUST,,,0.1723120567376015,0.6270638297871766,0.2058475,1.4281144,1.0410939744005234,6.790723777490694,2914
TBC1D22A,ACBD3,Unknown,TRRUST,,,0.0691631205673764,0.0675177304964542,0.0733042,0.071488634,-0.008487402090040267,0.49301388209166463,2915
TBL1X,MYC,Unknown,TRRUST,,,0.0556595744680849,0.3311205673759182,0.059403848,0.8089884,0.5620944333427895,3.4598725490994107,2916
TBP,ACTB,Activation,DoRothEA_AB,0.5,B,0.0514609929078012,0.9780992907797826,0.053276252,14.077445,10.827508294082705,10.741639527115954,2917
TBP,APP,Activation,DoRothEA_AB,1.0,A,0.0514609929078012,0.058496453900709,0.053276252,0.06388601,-0.014369328235662504,0.3914791149685044,2918
TBP,BCL2,Repression,TRRUST,,,0.0514609929078012,0.2306382978723602,0.053276252,0.28687465,0.15815041123754367,2.3289412750420033,2919
TBP,FUS,Repression,DoRothEA_AB,-1.0,A,0.0514609929078012,0.5344680851064051,0.053276252,0.89026374,0.624974768782282,5.748555601736948,2920
TBP,MYC,Activation,DoRothEA_AB,1.0,A,0.0514609929078012,0.3311205673759182,0.053276252,0.8089884,0.5620944333427895,3.4598725490994107,2921
TBP,PMF1,Activation,DoRothEA_AB,1.0,A,0.0514609929078012,0.2693900709220101,0.053276252,0.38509408,0.23413988978141392,2.7650937652629,2922
TBX21,AKNA,Activation,DoRothEA_AB,0.5,B,0.1123404255319206,0.2262695035461185,0.14814219,0.27898794,0.15204869612550598,2.2797703500829853,2923
TBX21,GATA3,Activation,DoRothEA_AB,1.0,A,0.1123404255319206,0.1499574468085208,0.14814219,0.19773243,0.08918370257263934,1.4208756219027405,2924
TBX21,IL21R,Activation,DoRothEA_AB,0.5,B,0.1123404255319206,0.081645390070924,0.14814219,0.095317975,0.00994865681026152,0.65202115890719,2925
TBX21,NELFCD,Unknown,TRRUST,,,0.1123404255319206,0.1536453900709326,0.14814219,0.17339191,0.07035215954406909,1.462383545569444,2926
TBX21,SEMA4D,Activation,DoRothEA_AB,0.5,B,0.1123404255319206,0.1715744680851191,0.14814219,0.20034418,0.09120433658148011,1.6641759129337241,2927
TBX21,SLAMF7,Activation,DoRothEA_AB,0.5,B,0.1123404255319206,0.0590070921985813,0.14814219,0.0737016,-0.006775295510157699,0.39722636593773913,2928
TBX21,YY1,Unknown,TRRUST,,,0.1123404255319206,0.2540141843971856,0.14814219,0.3112751,0.17702832034102534,2.5920376527447986,2929
