run_dir,dataset,condition,edge_set,score_definition,metric,n_repeats,n_positive_mean,n_negative_mean,random_auprc_baseline,auroc_mean,auroc_sd,auprc_mean,auprc_sd,enrichment_at_5pct_mean,enrichment_at_5pct_sd,median_difference_mean,median_difference_sd,cliffs_delta_mean,cliffs_delta_sd,positive_median_mean,negative_median_mean,auroc_ci95_low,auroc_ci95_high,auprc_ci95_low,auprc_ci95_high,enrichment_at_5pct_ci95_low,enrichment_at_5pct_ci95_high,median_difference_ci95_low,median_difference_ci95_high,cliffs_delta_ci95_low,cliffs_delta_ci95_high
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,formal_abs,pearson,10,157.0,157.0,0.5,0.6043490608138262,0.0126809857598803,0.6258357721546258,0.0153401553210451,1.6375,0.0395284707521047,0.0113782715052366,0.0020607810638596,0.2086981216276522,0.0253619715197608,0.0367148891091346,0.025336617603898,0.5952776300762096,0.6134204915514428,0.6148620861073311,0.6368094582019206,1.6092230354657375,1.6657769645342624,0.0099040775395483,0.0128524654709249,0.1905552601524188,0.2268409831028855
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,formal_abs,spearman,10,157.0,157.0,0.5,0.5848837681041827,0.0158757495769155,0.5975830388547526,0.0164554912486061,1.325,0.0874007373475126,0.0077148551121354,0.0019961460562113,0.1697675362083654,0.0317514991538311,0.0286691077053546,0.0209542525932192,0.5735269410071626,0.5962405952012029,0.58581148954922,0.6093545881602852,1.26247727895311,1.38752272104689,0.0062868982455346,0.0091428119787361,0.1470538820143251,0.1924811904024057
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,formal_abs,codetection_odds_ratio,10,718.0,718.0,0.5,0.5594966480707009,0.0075322235978796,0.5790476568853982,0.0094402327222563,1.4416666666666669,0.0634107172898664,0.0370345950126647,0.0055382572028757,0.1189932961414017,0.0150644471957592,1.220366895198822,1.183332300186157,0.5541084199027787,0.564884876238623,0.5722945212137326,0.5858007925570637,1.3963053721419545,1.4870279611913788,0.033072764475646,0.0409964255496835,0.1082168398055575,0.129769752477246
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,formal_abs,coexpression_probability,10,718.0,718.0,0.5,0.5144651849380436,0.0017527641185126,0.5110954333119213,0.0006995150787084,1.0166666666666666,0.019422386077225,0.0004052957519888,0.0001714800271065,0.0289303698760872,0.0035055282370253,0.0110105373896658,0.0106052416376769,0.5132113330213597,0.5157190368547275,0.5105950303695492,0.5115958362542934,1.002772728656247,1.0305606046770863,0.0002826263303652,0.0005279651736124,0.0264226660427194,0.031438073709455
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,formal_abs,mutual_information,10,718.0,718.0,0.5,0.5470200223461953,0.0064181622128828,0.5546105202887636,0.0045864592706926,1.2944444444444445,0.0457373667971425,6.817411194788292e-05,1.1506709492698283e-05,0.0940400446923906,0.0128363244257657,0.0002573829842731,0.0001892088723252,0.5424287456836857,0.5516112990087049,0.5513295649756034,0.5578914756019238,1.2617259032460226,1.3271629856428664,5.994270784749118e-05,7.640551604827465e-05,0.0848574913673714,0.1032225980174098
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,formal_abs,pearson,10,718.0,718.0,0.5,0.5579911895469464,0.007960283774884,0.5676848615013064,0.0052418468204175,1.325,0.0571529606000406,0.0052235003560781,0.0009890840849533,0.1159823790938927,0.0159205675497681,0.0267335381358861,0.021510037779808,0.5522967455752409,0.5636856335186519,0.5639350701783752,0.5714346528242376,1.2841152349391256,1.3658847650608743,0.004515952225339,0.0059310484868172,0.1045934911504817,0.1273712670373038
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,formal_abs,spearman,10,718.0,718.0,0.5,0.5488459315182223,0.0073218667280591,0.562383225822765,0.0057192783186958,1.347222222222222,0.0657994000164439,0.0030372342094779,0.0005945575496803,0.0976918630364444,0.0146437334561183,0.0215268963947892,0.0184896621853113,0.5436081835898408,0.5540836794466037,0.5582919005804211,0.5664745510651089,1.300152167012923,1.3942922774315212,0.0026119133603277,0.003462555058628,0.0872163671796814,0.1081673588932074
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,formal_abs,codetection_odds_ratio,10,787.0,787.0,0.5,0.5405251958041167,0.0078800903604384,0.5427609247550922,0.0104671935135182,1.2556962025316456,0.0708056606359596,0.0241542339324951,0.0056267438157825,0.0810503916082335,0.0157601807208769,1.2952536344528198,1.2710994005203249,0.5348881187452468,0.5461622728629867,0.535273145589255,0.5502487039209294,1.2050448842151775,1.3063475208481137,0.0201291038858491,0.028179363979141,0.0697762374904936,0.0923245457259734
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,formal_abs,coexpression_probability,10,787.0,787.0,0.5,0.5028187558628217,0.0006997311685497,0.5030977601560347,0.0003161713366583,1.0126582278481011,0.0,-0.00044467728585,0.0002481514254464,0.0056375117256433,0.0013994623370993,0.0304734501987695,0.0309181274846196,0.5023181983390893,0.503319313386554,0.5028715848068919,0.5033239355051775,1.0126582278481011,1.0126582278481011,-0.0006221941217651,-0.0002671604499349,0.0046363966781787,0.0066386267731079
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,formal_abs,mutual_information,10,787.0,787.0,0.5,0.5239974877657746,0.0052305721121287,0.5257580556560841,0.0048088256620328,1.1873417721518986,0.0700472775339988,9.756473591551184e-05,2.7412718181533308e-05,0.047994975531549,0.0104611442242575,0.0007271310314536,0.000629566295538,0.5202557618832804,0.5277392136482688,0.522318029009227,0.5291980823029413,1.1372329684247762,1.237450575879021,7.795485865342034e-05,0.0001171746131776,0.0405115237665605,0.0554784272965375
