run_dir,dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,mutual_information,7,752,752,0.5,0.5659429464689905,0.5594943240965382,1.2105263157894737,0.0008822859381325,0.0005859427037648,0.0002963432343676,0.1318858929379809
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,coexpression_probability,7,752,752,0.5,0.5180909418854686,0.5162330110408162,1.0263157894736843,0.018414918333292,0.0174825172871351,0.0009324010461568,0.0361818837709371
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,codetection_odds_ratio,7,752,752,0.5,0.5871806388637393,0.5794029322310879,1.263157894736842,1.4351056218147278,1.308390974998474,0.1267146468162536,0.1743612777274785
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,pearson,8,752,752,0.5,0.5697678531009507,0.5668375316497631,1.3157894736842106,0.0455768406391143,0.0363783556967973,0.009198484942317,0.1395357062019013
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,spearman,8,752,752,0.5,0.5769914978497057,0.5694607236893676,1.2105263157894737,0.040364833548665,0.0309070674702525,0.0094577660784125,0.1539829956994114
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,mutual_information,8,752,752,0.5,0.5722099224762336,0.5634312982124785,1.2894736842105263,0.0008822859381325,0.000568403978832,0.0003138819593004,0.1444198449524671
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,coexpression_probability,8,752,752,0.5,0.5213473291081937,0.516894646730384,1.0263157894736843,0.018414918333292,0.0168997664004564,0.0015151519328355,0.0426946582163874
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,codetection_odds_ratio,8,752,752,0.5,0.5941133926550475,0.5891102168908589,1.3157894736842106,1.4351056218147278,1.3070803880691528,0.1280252337455749,0.1882267853100949
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,pearson,9,752,752,0.5,0.5669632752376641,0.5701451895904023,1.236842105263158,0.0455768406391143,0.0364834927022457,0.0090933479368686,0.1339265504753282
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,spearman,9,752,752,0.5,0.5704026850384789,0.5693848252975713,1.236842105263158,0.040364833548665,0.0311530428007245,0.0092117907479405,0.1408053700769578
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,mutual_information,9,752,752,0.5,0.566476099196469,0.5652766272640104,1.3157894736842106,0.0008822859381325,0.0005846022395417,0.0002976836985908,0.132952198392938
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,coexpression_probability,9,752,752,0.5,0.5171042114644635,0.5173044075555815,1.0789473684210529,0.018414918333292,0.0174825172871351,0.0009324010461568,0.034208422928927
adult_celltype__loop_of_henle,ZJU_HCL_adult_celltype,Loop of Henle,trrust_dorothea_union,formal_abs,codetection_odds_ratio,9,752,752,0.5,0.5892999872679946,0.580120135023408,1.263157894736842,1.4351056218147278,1.3107656836509705,0.1243399381637573,0.1785999745359892
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,pearson,0,393,393,0.5,0.490475820497381,0.5124843589517668,1.1,0.0447146818041801,0.0453876592218875,-0.0006729774177074,-0.0190483590052379
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,spearman,0,393,393,0.5,0.485671645656495,0.5116373438436205,1.15,0.0442497879266738,0.0455929040908813,-0.0013431161642074,-0.0286567086870099
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,mutual_information,0,393,393,0.5,0.4788473865159373,0.5061522285646893,1.1,0.0008624388137832,0.0010396890575066,-0.0001772502437233,-0.0423052269681254
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,coexpression_probability,0,393,393,0.5,0.5244676236168573,0.520400122101262,1.2,0.0192722715437412,0.0184190720319747,0.0008531995117664,0.0489352472337147
