run_dir,dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,3,787,787,0,0,0.0,0,0,0.0032156689781478,-0.0038753433840982
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,4,787,787,0,0,0.0,0,0,0.0033290619515692,-0.0048320195930105
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,5,787,787,0,0,0.0,0,0,0.0043772282287088,-0.0036942994734627
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,6,787,787,0,0,0.0,0,0,0.0040879328679394,-0.0023730362288178
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,7,787,787,0,0,0.0,0,0,0.0043130479632743,-0.0042825009064541
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,8,787,787,0,0,0.0,0,0,0.0041043840130953,-0.0034249009328501
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,9,787,787,0,0,0.0,0,0,0.0028229811978384,-0.0034327697714604
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,0,242,242,0,0,0.0,0,0,0.003867144736637,-0.0072741679600455
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,1,242,242,0,0,0.0,0,0,0.0050074747587181,-0.005575721011419
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,2,242,242,0,0,0.0,0,0,0.0040830707810215,-0.0085835242407117
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,3,242,242,0,0,0.0,0,0,0.0040992496050624,-0.0080448789060738
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,4,242,242,0,0,0.0,0,0,0.004250868445237,-0.0050471054818424
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,5,242,242,0,0,0.0,0,0,0.0046697277191547,-0.0091916652325876
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,6,242,242,0,0,0.0,0,0,0.0036433184694003,-0.0053320106323134
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,7,242,242,0,0,0.0,0,0,0.0051784876558975,-0.0108784378607555
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,8,242,242,0,0,0.0,0,0,0.0034302461722346,-0.0079983846672554
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,9,242,242,0,0,0.0,0,0,0.002131151814315,-0.0090735964605848
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,0,1073,1073,0,0,0.0,0,0,0.0030237513660115,-0.0047818375934424
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,1,1073,1073,0,0,0.0,0,0,0.0040042993892319,-0.0056285712584946
