result_source,dataset,condition,edge_set,score_definition,metric,n_repeats,n_positive_mean,n_negative_mean,random_auprc_baseline,auroc_mean,auroc_sd,auprc_mean,auprc_sd,enrichment_at_5pct_mean,enrichment_at_5pct_sd,median_difference_mean,median_difference_sd,cliffs_delta_mean,cliffs_delta_sd,positive_median_mean,negative_median_mean,auroc_ci95_low,auroc_ci95_high,auprc_ci95_low,auprc_ci95_high,enrichment_at_5pct_ci95_low,enrichment_at_5pct_ci95_high,median_difference_ci95_low,median_difference_ci95_high,cliffs_delta_ci95_low,cliffs_delta_ci95_high,dataset_role,analysis_group,run_dir,context_level,context_label
local_refined,PBMC10k,all,dorothea_ab,formal_abs,codetection_odds_ratio,10,5283.0,5283.0,0.5,0.5178779902851618,0.0027556250746751,0.5180667054011145,0.0022546298402078,1.0820415879017014,0.0166045813151864,0.0317319631576538,0.0060033922574153,0.0357559805703235,0.0055112501493503,1.6113693714141846,1.5796374082565308,0.5159067348577768,0.5198492457125468,0.5164538403745551,0.519679570427674,1.0701633859874315,1.0939197898159712,0.0274373950471695,0.036026531268138,0.0318134697155535,0.0396984914250934,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,dorothea_ab,formal_abs,coexpression_probability,10,5283.0,5283.0,0.5,0.5040511013777133,0.000869419307139,0.5027093814844961,0.0005008316809869,1.008695652173913,0.0097291791131033,0.0008336089551448,0.0003988177942256,0.0081022027554265,0.0017388386142781,0.0791930630803108,0.0783594541251659,0.5034291562721828,0.5046730464832437,0.5023511080827822,0.50306765488621,1.001735816706105,1.015655487641721,0.0005483118918288,0.0011189060184609,0.0068583125443657,0.0093460929664874,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,dorothea_ab,formal_abs,mutual_information,10,5283.0,5283.0,0.5,0.5088429975984671,0.0014442148044703,0.5055879793967556,0.0010131942562028,1.0102079395085066,0.0154141246139087,0.0005298566999999,0.0001944722406137,0.0176859951969339,0.0028884296089405,0.016696125,0.0161662683,0.5078098685644102,0.5098761266325239,0.5048631838885094,0.5063127749050018,0.9991813390167334,1.0212345400002798,0.0003907396396608,0.0006689737603391,0.0156197371288203,0.0197522532650474,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,dorothea_ab,formal_abs,pearson,10,5283.0,5283.0,0.5,0.5206597209346054,0.0027975078895016,0.5141210633854695,0.0018009649277005,1.0207939508506616,0.0105439196790684,0.0058260232210159,0.0007661912970107,0.0413194418692108,0.0055950157790033,0.0512348972260952,0.0454088740050792,0.5186585043463936,0.5226609375228173,0.5128327306870606,0.5154093960838784,1.013251285092431,1.0283366166088923,0.0052779229854185,0.0063741234566133,0.0373170086927872,0.0453218750456344,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,dorothea_ab,formal_abs,spearman,10,5283.0,5283.0,0.5,0.5194717867076669,0.0027964787121386,0.513843269594851,0.0016657479008393,1.010964083175803,0.0080102072247362,0.0050528649240732,0.0009621615158746,0.0389435734153337,0.0055929574242773,0.0687224417924881,0.0636695768684148,0.5174713063485892,0.5214722670667447,0.5126516653304096,0.5150348738592925,1.0052339261194772,1.0166942402321295,0.0043645760390505,0.0057411538090959,0.0349426126971782,0.0429445341334893,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust,formal_abs,codetection_odds_ratio,10,2651.0,2651.0,0.5,0.5098983949602444,0.0048502955639478,0.5200564325589359,0.0030853415916018,1.1278195488721805,0.0232421516177837,0.025043022632599,0.015124920682943,0.0197967899204886,0.0097005911278958,1.648478507995606,1.6234354853630066,0.5064287025326631,0.5133680873878256,0.5178493121441607,0.522263552973711,1.1111931152032022,1.1444459825411588,0.0142233061700708,0.0358627390951272,0.0128574050653261,0.0267361747756511,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust,formal_abs,coexpression_probability,10,2651.0,2651.0,0.5,0.5020135103427089,0.0011394201957953,0.5022201381411256,0.0007296143106047,1.0045112781954888,0.0159300737664869,-0.0005918644368648,0.0004771771602209,0.0040270206854178,0.0022788403915906,0.0725241750478744,0.0731160394847392,0.5011984182368648,0.502828602448553,0.5016982035053527,0.5027420727768986,0.9931155899142984,1.015906966476679,-0.0009332164137917,-0.0002505124599379,0.0023968364737297,0.0056572048971058,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust,formal_abs,mutual_information,10,2651.0,2651.0,0.5,0.5055437326697213,0.0018097981589706,0.5085463941838262,0.0015926667661093,1.0518796992481203,0.0270978203925322,5.232999999993382e-07,0.0002202943308332,0.0110874653394425,0.0036195963179413,0.0144026335,0.0144021102,0.5042490810583214,0.5068383842811212,0.5074070690138087,0.5096857193538437,1.0324950862940598,1.0712643122021808,-0.0001570657709037,0.0001581123709037,0.0084981621166427,0.0136767685622424,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust,formal_abs,pearson,10,2651.0,2651.0,0.5,0.5219777210538545,0.0025013929172448,0.5224477738132983,0.0020808822915809,1.0714285714285716,0.0191692462917021,0.0039643883705139,0.0007649622648853,0.043955442107709,0.0050027858344897,0.0411289595067501,0.0371645711362361,0.5201883323560026,0.5237671097517065,0.5209592002955415,0.5239363473310551,1.0577157187118968,1.0851414241452464,0.0034171673315351,0.0045116094094927,0.0403766647120051,0.047534219503413,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust,formal_abs,spearman,10,2651.0,2651.0,0.5,0.5146321729940845,0.003041493345174,0.5184343001159639,0.0022570379138131,1.0390977443609022,0.0267126067057126,0.0028788022696971,0.0009168976459151,0.0292643459881689,0.006082986690348,0.0596461929380893,0.0567673906683921,0.5124564197252054,0.5168079262629636,0.516819712457321,0.5200488877746069,1.0199886966779756,1.0582067920438287,0.00222289320664,0.0035347113327542,0.0249128394504109,0.033615852525927,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
