result_source,dataset,condition,edge_set,metric,top_level,repeats,mean_actual_top_n,mean_curated_positive_fraction,sd_curated_positive_fraction,mean_delta_vs_0_5,repeats_above_0_5,trrust_union_known_fraction_mean,analysis_group,source_group,ci95_curated_positive_fraction,min_curated_positive_fraction,max_curated_positive_fraction,complete_threshold_repeats,mean_total_pairs_ranked,mean_positive_pairs_in_evaluation,mean_negative_pairs_in_evaluation,all_repeats_above_0_5,context_level,context_label,fixed_top100_valid,strict_top500_valid
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,mutual_information,top_5pct,10,30.0,0.52,0.0172132593164774,0.0199999999999999,6.0,0.52,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,pearson,top_100,10,100.0,0.5469999999999999,0.0262678510731274,0.047,10.0,0.5469999999999999,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,pearson,top_500,10,500.0,0.498,0.0051639777949432,-0.002,3.0,0.498,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,pearson,top_5pct,10,30.0,0.5666666666666667,0.0,0.0666666666666666,10.0,0.5666666666666667,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,spearman,top_100,10,100.0,0.523,0.0221359436211786,0.023,8.0,0.523,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,spearman,top_500,10,500.0,0.5064,0.0053166405433005,0.0064,9.0,0.5064,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
local_refined,Kang_IFN_beta,stim,trrust_dorothea_intersection,spearman,top_5pct,10,30.0,0.5599999999999999,0.0140545673785261,0.0599999999999999,10.0,0.5599999999999999,Original dataset contexts,,,,,,,,,,Tissue contexts,"Kang
IFN-beta
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,codetection_odds_ratio,top_100,10,100.0,0.532,0.0311982905514602,0.032,7.0,0.532,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,codetection_odds_ratio,top_500,10,500.0,0.5272,0.0067461923416925,0.0272,10.0,0.5272,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,codetection_odds_ratio,top_5pct,10,507.0,0.5274161735700197,0.0062510791973726,0.0274161735700197,10.0,0.5274161735700197,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,coexpression_probability,top_100,10,100.0,0.512,0.0078881063774661,0.012,9.0,0.512,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,coexpression_probability,top_500,10,500.0,0.4948,0.0054324130099902,-0.0052,0.0,0.4948,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,coexpression_probability,top_5pct,10,507.0,0.4930966469428008,0.0044591255641849,-0.0069033530571992,1.0,0.4930966469428008,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
