context_group,pathway,top_level,combinations,combinations_fdr_in_at_least_5_repeats,median_fold_enrichment,best_bh_fdr,support_fraction,context_level
Adult cell types,Tgf Beta Signaling,top_100,140,14,2.3593679712100766,0.0006925447362459,0.1,Adult cell types
Adult cell types,Tgf Beta Signaling,top_500,140,33,1.9208386108199393,0.0003936779664114,0.2357142857142857,Adult cell types
Adult cell types,Tgf Beta Signaling,top_5pct,140,7,1.9658624286341677,0.0014920970441851,0.05,Adult cell types
Adult cell types,Tnfa Signaling Via Nfkb,top_100,140,112,3.276640569140569,1.6987690114884274e-19,0.8,Adult cell types
Adult cell types,Tnfa Signaling Via Nfkb,top_500,140,135,1.9531042972882773,6.504275710856678e-17,0.9642857142857143,Adult cell types
Adult cell types,Tnfa Signaling Via Nfkb,top_5pct,140,92,4.103875951634572,4.7102251556322855e-15,0.6571428571428571,Adult cell types
Adult cell types,Unfolded Protein Response,top_100,140,17,2.3678384115884112,0.0007258277253231,0.12142857142857143,Adult cell types
Adult cell types,Unfolded Protein Response,top_500,140,23,1.7180782989527472,2.351457472081431e-06,0.16428571428571428,Adult cell types
Adult cell types,Unfolded Protein Response,top_5pct,140,13,3.696879713423831,0.0007965225004041,0.09285714285714286,Adult cell types
Adult cell types,Uv Response Dn,top_100,140,14,2.3445824041799272,0.0002319509410212,0.1,Adult cell types
Adult cell types,Uv Response Dn,top_500,140,24,1.7039324421965318,0.0001943219032332,0.17142857142857143,Adult cell types
Adult cell types,Uv Response Dn,top_5pct,140,12,3.62727205634278,0.0015417469084483,0.08571428571428572,Adult cell types
Adult cell types,Uv Response Up,top_100,140,34,2.5470038526327583,5.904305870188463e-05,0.24285714285714285,Adult cell types
Adult cell types,Uv Response Up,top_500,140,55,1.7588426093070428,2.8334077385751043e-05,0.39285714285714285,Adult cell types
Adult cell types,Uv Response Up,top_5pct,140,18,3.142760582010582,0.0001988976422656,0.12857142857142856,Adult cell types
Adult cell types,Wnt Beta Catenin Signaling,top_100,140,1,3.2845473024044454,0.023303352600365,0.007142857142857143,Adult cell types
Adult cell types,Wnt Beta Catenin Signaling,top_500,140,5,2.217391304347826,0.006770807904909,0.03571428571428571,Adult cell types
Adult cell types,Wnt Beta Catenin Signaling,top_5pct,140,0,4.831250000000001,0.0787024597636039,0.0,Adult cell types
Adult cell types,Xenobiotic Metabolism,top_100,140,0,1.3667600337071248,0.086329485384046,0.0,Adult cell types
Adult cell types,Xenobiotic Metabolism,top_500,140,0,1.0535251204017333,0.0270735150785716,0.0,Adult cell types
Adult cell types,Xenobiotic Metabolism,top_5pct,140,0,0.0,0.0635643390899424,0.0,Adult cell types
Adult tissues,Adipogenesis,top_100,80,0,0.5831328247775616,0.5083793745691957,0.0,Adult tissues
Adult tissues,Adipogenesis,top_500,80,0,0.7179958254869839,0.0338194384186732,0.0,Adult tissues
Adult tissues,Adipogenesis,top_5pct,80,0,0.0,0.5083793745691957,0.0,Adult tissues
Adult tissues,Allograft Rejection,top_100,80,19,2.283333333333333,7.756087622080769e-05,0.2375,Adult tissues
Adult tissues,Allograft Rejection,top_500,80,43,2.099377710863347,7.140442822688028e-10,0.5375,Adult tissues
Adult tissues,Allograft Rejection,top_5pct,80,7,2.3626206474684732,0.0026680681587595,0.0875,Adult tissues
Adult tissues,Androgen Response,top_100,80,0,0.0,0.5085680924366157,0.0,Adult tissues
Adult tissues,Androgen Response,top_500,80,0,0.7311827956989246,0.1935558054068804,0.0,Adult tissues
Adult tissues,Androgen Response,top_5pct,80,0,0.0,0.4772667761103464,0.0,Adult tissues
Adult tissues,Angiogenesis,top_100,80,0,2.6982007383323174,0.0403542643320099,0.0,Adult tissues
Adult tissues,Angiogenesis,top_500,80,0,1.4217865602313275,0.0646200701495869,0.0,Adult tissues
Adult tissues,Angiogenesis,top_5pct,80,0,0.0,0.0403542643320099,0.0,Adult tissues
Adult tissues,Apical Junction,top_100,75,0,1.5776183644189383,0.0502873157370587,0.0,Adult tissues
Adult tissues,Apical Junction,top_500,75,2,1.4753086419753083,0.0042880892581366,0.02666666666666667,Adult tissues
Adult tissues,Apical Junction,top_5pct,75,0,0.0,0.0364658196782253,0.0,Adult tissues
Adult tissues,Apical Surface,top_100,80,3,3.603891715489773,0.0058231768734891,0.0375,Adult tissues
Adult tissues,Apical Surface,top_500,80,3,2.23015873015873,0.0037059173146597,0.0375,Adult tissues
Adult tissues,Apical Surface,top_5pct,80,0,4.189803543421965,0.0402100845519575,0.0,Adult tissues
Adult tissues,Apoptosis,top_100,80,41,2.426735976425995,3.387899334094374e-07,0.5125,Adult tissues
Adult tissues,Apoptosis,top_500,80,65,1.9358530050877487,1.5750231431039438e-10,0.8125,Adult tissues
Adult tissues,Apoptosis,top_5pct,80,26,3.236185383244207,7.079671919343649e-07,0.325,Adult tissues
Adult tissues,Bile Acid Metabolism,top_100,70,0,0.0,0.1421217625578438,0.0,Adult tissues
Adult tissues,Bile Acid Metabolism,top_500,70,0,1.0460069444444446,0.1787952828081611,0.0,Adult tissues
Adult tissues,Bile Acid Metabolism,top_5pct,70,0,0.0,0.5266846964845987,0.0,Adult tissues
Adult tissues,Cholesterol Homeostasis,top_100,80,1,2.075296969046969,0.0009558450303918,0.0125,Adult tissues
Adult tissues,Cholesterol Homeostasis,top_500,80,1,1.530726752664703,0.0188519506686598,0.0125,Adult tissues
